Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soup,Broccoli Almond Soup,1,0,Creamy Thick Soup Made Of Broccoli & Topped With Almond,355.0
Soup,Cottage Cheese Exotic Soup,1,0,Exotic Veggies With Julinnes Cutting Paneer,315.0
Soup,Cream Of Mushroom Soup,1,0,Chopped Buttom Mushroom Enriched With Cream,355.0
Soup,Khow-Suey Soup,1,0,Traditional Burma Delicious Served With Different Accompaniments,355.0
Soup,Lemon Coriander Soup,1,0,Taste It To Soothen Your Sense,285.0
Soup,Manchow Soup,1,0,Thick Veg Soup Flavoured With Dark Soya & Served With Crispy Noodles,285.0
Soup,Mehfil-Ka-Pyala Soup,1,0,A Medium Spicy Soup Blend Of Coconut & Served With Soft Noodles,325.0
Soup,Mexican Chilly Tortilla Soup,1,0,A Classic Mexican Soup With Bleand Of Kidney Beans American Corn Served With ... read more,392.0
Soup,Sweet Corn Soup,1,0,Sweet Corn Topped With Chopped Veggies,315.0
Soup,Tom Yom Phak Soup,1,0,Thai Veg Soup Spiked With Galangal Lemon Grass & Hot Chilly,355.0
Soup,Tomato Basil Soup,1,0,,285.0
Soup,Tomato Creamy Soup,1,0,,285.0
Soup,Veg Clear Soup,1,0,Clear Healthy Soup Served With Vegetable,285.0
Soup,Veg Thai Soup,1,0,Coconut Cream Base Thik Soup Served With English Veggies,325.0
Fries,Cheesy French Fries,1,0,,399.0
Fries,French Fries,1,0,,225.0
Fries,Peri Peri French Fries,1,0,,255.0
Fries,Special Garlic French Fries,1,0,,340.0
Starters,Apka Hindustani Paneer Tikka,1,0,Two Type Of Paneer Tikka Served,625.0
Starters,Broccoli Lollipop,1,0,Broccoli Lollipop Tossed Schezwan Sauce And Served With Chef Special Sauce,595.0
Starters,Bruschetta,1,0,Cheese Veggies Bread Baked In Oven,410.0
Starters,Cheese Corn Ball,1,0,Cheese Ball Made Of Cheese & Corn,515.0
Starters,Cheese Garlic Bread,1,0,Bread Slice With Spread Of Garlic Butter And Topped With Cheese & ... read more,330.0
Starters,Cheese Pepper Roll,1,0,Roll Stuffed With Slice Cheese And Veggies Served With Schezwan Sauce,499.0
Starters,Chilli Paneer,1,0,Paneer And Bell Pepper Tossed With Chilli Soya Sauce,499.0
Starters,Crispy Hong Kong,1,0,Cotted Fried Corn Tossed With Bell Pepper Onion & Sriracha Sauce,405.0
Starters,Crispy Nachos With Salsa,1,0,Maize Flour Chips Served With Sour Cream & Salsa,430.0
Starters,Crispy Veg,1,0,Crispy Fried Vegetable Tossed In Sehezwan Sauce,425.0
Starters,Crispy Water Chestnut,1,0,Fried Water Chestnut Bell Pepper & Onion Tossed With Honey Chilli Sauce,590.0
Starters,Exotic Bruschetta,1,0,Bread Slice Topped With Chopped Exotic Veggies & Cheese,450.0
Starters,Hara Bhara Kebab,1,0,All Time Favourite Fried Kebab Made Of Greens Topped With Cashe,430.0
Starters,Kashmiri Paneer Tikka,1,0,Paneer With Tossed Of Chef Secret Ingredients,640.0
Starters,Lahori Paneer Tikka,1,0,Marinated Paneer Stuffed With Cheese & Chutney Roasted In Clay Oven,640.0
Starters,Lasooni Soya Chaap,1,0,Chaap Marinated Garlic & Indian Spices,530.0
Starters,Malai Paneer Tikka,1,0,Soft Paneer Marenated With Malai Creamy Cheese,650.0
Starters,Manchurian Dry,1,0,All Time Favourite Veg Dumpling Tossed With Chines Sauce,390.0
Starters,Mehfil E Mushroom,1,0,Two Type Of Mushroom Tikka,580.0
Starters,Overload Nachos,1,0,Maize Flour Chips Serve With Loaded Mexican Topping Salsa & Cheese Sauce,450.0
Starters,Palak Corn Seekh Kebab,1,0,"( Minced Spinach , American corn Mixed Qith Indian Spice Served With Green ... read more",350.0
Starters,Paneer Cheese Chilli Garlic Kebab,1,0,Chef Special Creamy Roasted Kebeb,635.0
Starters,Paneer Cheese Seekh Kebab,1,0,"Minced Vegetable , Paneer , Cheese Mixed With Indian Spice",430.0
Starters,Paneer Satay,1,0,"Paneer Served Shashlik Stick Peanut Butter ,Bell Pepper ,Onion",520.0
Starters,Singapuri Chilli Paneer,1,0,Cottage Cheese Tossed With Singapuri Sauce,499.0
Starters,Soya Chaap Gilori,1,0,"( Stuffed Cheese , Mix Cottage Cheese With Mild Sweet Flavour )",410.0
Starters,Sunrise Bruschetta,1,0,"Sunrise Tomato , Basil , Olive , Mexican Seasoning , Cheese",450.0
Starters,Tandoori Chefs Special Platter,1,0,"2 Type Paneer Tikka , 2 Type Kebab , Mushroom , Broccoli Soya ... read more",890.0
Starters,Tandoori Soya Chaap,1,0,Marinated Soya Chaap Roasted In Tandoor,530.0
Indian Main Course,Avadhi Paneer,1,0,Stuffed Paneer With Yellow Spicy Gravy,585.0
Indian Main Course,Cheese Butter Masala,1,0,Cheese Cube Cooked In Tomato Gravy Masala With Butter,585.0
Indian Main Course,Chef Special Paneer,1,0,Healthy Paneer Tikka & Grated Cheese Served Rice Red Gravy Made With Chef,595.0
Indian Main Course,Chef Special Soya Chaap,1,0,Soft Soya Cooked In Chef Special Gravy & Masala,635.0
Indian Main Course,Dum Aloo,1,0,Baby Potato Simmered In Punjabi Spical Brown Gravy,490.0
Indian Main Course,Kaju Cheese Masala,1,0,Cashew Cooked In Rich Tomato Gravy With Indian Spices Topped With Cheese Cube,635.0
Indian Main Course,Kaju Paneer Tikka Masala,1,0,Tandoori Paneer Tikka Simmered In Rice Tomato Gravy And Roasted Cashew Nut Cooked ... read more,650.0
Indian Main Course,Malai Kofta,1,0,"Rice Soft Nuts , Paneer Kofta Cooked In Malai Gravy",635.0
