Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Classic Waffle,Bursting Blueberry Waffle,1,0,Multigrain chocolate waffles topped with blueberry crush.,180.0
Classic Waffle,Pure Honey Waffle,1,0,Multigrain chocolate waffles topped with pure honey.,160.0
Classic Waffle,Sparkling Strawberry Waffle,1,0,Multigrain chocolate waffles topped with strawberry crush.,180.0
Chocolate Waffle,Belgian Dark Chocolate Waffle,1,0,Multigrain chocolate waffles topped with Belgian dark chocolate spread.,200.0
Chocolate Waffle,Belgian Milk Chocolate Waffle,1,0,Multigrain chocolate waffles topped with Belgian milk chocolate spread.,200.0
Chocolate Waffle,Coffee Mocha Chocolate Waffle,1,0,Multigrain chocolate waffles topped with coffee chocolate spread.,210.0
Chocolate Waffle,Naughty Nutella Waffle,1,0,Multigrain chocolate waffles topped with nutella chocolate spread.,220.0
Chocolate Waffle,Red Velvet White Chocolate Waffle,1,0,Multigrain red velvet waffles topped with swiss white chocolate spread.,220.0
Chocolate Waffle,Swiss White Chocolate Waffle,1,0,Multigrain chocolate waffles topped with swiss white chocolate spread.,200.0
Crunchy Waffle,Butterscotch Crunch Waffle,1,0,Multigrain chocolate waffles topped with Belgian milk chocolate spread and butterscotch balls.,250.0
Crunchy Waffle,Crunchy Biscoff Waffle,1,0,Multigrain chocolate waffles topped with biscoff spread and biscoff biscuit.,270.0
Crunchy Waffle,Crunchy Cookies Waffle,1,0,Multigrain chocolate waffles topped with crunchy oreo chocolate spread.,250.0
Crunchy Waffle,Gems Magic Waffle,1,0,Multigrain chocolate waffles topped with Belgian dark chocolate spread and gems.,240.0
Crunchy Waffle,Kitkat Crunch Waffle,1,0,Multigrain chocolate waffles topped with Belgian milk chocolate spread and kitkat crush.,240.0
Crunchy Waffle,Oreo Crunch Waffle,1,0,Multigrain chocolate waffles topped with Belgian dark chocolate spread and oreo crush.,240.0
Multi Chocolate Waffle,Chesse Chocolate Waffle,1,0,Multigrain chocolate waffles topped with swiss white and Belgian dark chocolate spread.,220.0
Multi Chocolate Waffle,Chocolate Therapy Waffle,1,0,Multigrain chocolate waffles topped with Belgian dark chocolate and choco chips.,250.0
Multi Chocolate Waffle,Dark N White Fantasy,1,0,Multigrain chocolate waffles topped with swiss white and Belgian dark chocolate spread.,240.0
Multi Chocolate Waffle,Double Trouble Waffle,1,0,Multigrain chocolate waffles topped with Belgian dark chocolate spread and nutella drizzle.,240.0
Multi Chocolate Waffle,Triple Chocolate Waffle,1,0,"Multigrain chocolate waffles topped with Belgian dark, swiss white and Belgian milk chocolate ... read more",250.0
Signature Flavours Waffle,Chocolate Brownie Waffle,1,0,Multigrain chocolate waffles topped with Belgian dark chocolate spread and brownie crumble.,250.0
Signature Flavours Waffle,Cookies N Cream Waffle [Blue Chocolate],1,0,Multigrain chocolate waffles topped with blue oreo chocolate spread.,250.0
Signature Flavours Waffle,Death By Chocolate Waffle,1,0,Multigrain chocolate waffles topped with Belgian milk chocolate spread and lots of chocolate ... read more,300.0
Signature Flavours Waffle,Nutella Brownie Waffle,1,0,Multigrain chocolate waffles topped with nutella chocolate spread and brownie crumble.,270.0
Classic Pancake,Bursting Blueberry Pancake,1,0,Multigrain chocolate mini pancakes topped with blueberry crush [8 pcs],200.0
Classic Pancake,Pure Honey Pancake,1,0,Multigrain chocolate mini pancakes topped with pure honey [8 pcs],180.0
Classic Pancake,Sparkling Strawberry Pancake,1,0,Multigrain chocolate mini pancakes topped with strawberry crush [8 pcs],200.0
Chocolate Pancake,Belgian Dark Chocolate Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian dark chocolate spread [8 pcs],220.0
Chocolate Pancake,Belgian Milk Chocolate Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian milk chocolate spread [8 pcs],220.0
Chocolate Pancake,Coffee Mocha Chocolate Pancake,1,0,Multigrain chocolate mini pancakes topped with coffee chocolate spread [8 pcs],230.0
Chocolate Pancake,Naughty Nutella Pancake,1,0,Multigrain chocolate mini pancakes topped with nutella chocolate spread [8 pcs],240.0
Chocolate Pancake,Swiss White Chocolate Pancake,1,0,Multigrain chocolate mini pancakes topped with swiss white chocolate spread [8 pcs],220.0
Crunchy Pancake,Butterscotch Crunch Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian milk chocolate spread and butterscotch balls ... read more,270.0
Crunchy Pancake,Crunchy Cookies Pancake,1,0,Multigrain chocolate mini pancakes topped with crunchy oreo chocolate spread [8 pcs],270.0
Crunchy Pancake,Gems Magic Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian dark chocolate spread and gems [8 ... read more,260.0
Crunchy Pancake,Kitkat Crunch Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian milk chocolate spread and kitkat crush ... read more,260.0
Crunchy Pancake,Oreo Crunch Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian dark chocolate spread and oreo crush ... read more,260.0
Crunchy Pancake,Red Velvet White Chocolate Pancake,1,0,Multigrain red velvet mini pancakes topped with swiss white chocolate spread [8 pcs],240.0
Multi Chocolate Pancake,Chess Chocolate Pancake,1,0,Multigrain chocolate mini pancakes topped with swiss white and Belgian dark chocolate spread ... read more,240.0
Multi Chocolate Pancake,Crunchy Biscoff Pancake,1,0,Multigrain chocolate mini pancakes topped with biscoff spread and biscoff biscuit. [8 pcs],290.0
Multi Chocolate Pancake,Dark N White Fantasy Pancake,1,0,Multigrain chocolate mini pancakes topped with swiss white and Belgian dark chocolate spread ... read more,260.0
Multi Chocolate Pancake,Double Trouble Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian dark chocolate spread and nutella drizzle ... read more,260.0
Multi Chocolate Pancake,Triple Chocolate Pancake,1,0,"Multigrain chocolate mini pancakes topped with Belgian dark, swiss white and Belgian milk ... read more",270.0
Signature Flavours Pancake,Chocolate Brownie Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian dark chocolate spread and brownie crumble ... read more,270.0
Signature Flavours Pancake,Chocolate Therapy Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian dark chocolate and choco chips [8 ... read more,270.0
Signature Flavours Pancake,Cookies N Cream Pancake [Blue Chocolate],1,0,Multigrain chocolate mini pancakes topped with blue oreo chocolate spread [8 pcs],270.0
Signature Flavours Pancake,Death By Chocolate Pancake,1,0,Multigrain chocolate mini pancakes topped with Belgian milk chocolate spread and lots of ... read more,320.0
Signature Flavours Pancake,Nutella Brownie Pancake,1,0,Multigrain chocolate mini pancakes topped with nutella chocolate spread and brownie crumble [8 ... read more,290.0
Crunchy Mini Donuts,Butterscotch Crunch Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian milk chocolate spread and butterscotch balls ... read more,270.0
Crunchy Mini Donuts,Crunchy Biscoff Mini Donuts,1,0,Multigrain chocolate mini donuts topped with biscoff spread and biscoff biscuit. [6 pcs],290.0
Crunchy Mini Donuts,Crunchy Cookies Mini Donuts,1,0,Multigrain chocolate mini donuts topped with crunchy oreo chocolate spread [6 pcs],270.0
Crunchy Mini Donuts,Gems Magic Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian dark chocolate spread and gems [6 ... read more,260.0
Crunchy Mini Donuts,Kitkat Crunch Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian milk chocolate spread and kitkat crush ... read more,260.0
Crunchy Mini Donuts,Oreo Crunch Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian dark chocolate spread and oreo crush ... read more,260.0
Multi Chocolate Mini Donuts,Chess Chocolate Mini Donuts,1,0,Multigrain chocolate mini donuts topped with swiss white and Belgian dark chocolate spread ... read more,240.0
Multi Chocolate Mini Donuts,Dark N White Fantasy Mini Donuts,1,0,Multigrain chocolate mini donuts topped with swiss white and Belgian dark chocolate spread ... read more,260.0
Multi Chocolate Mini Donuts,Double Trouble Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian dark chocolate spread and nutella drizzle ... read more,260.0
Multi Chocolate Mini Donuts,Triple Chocolate Mini Donuts,1,0,"Multigrain chocolate mini donuts topped with Belgian dark, swiss white and Belgian milk ... read more",270.0
Signature Flavours Mini Donuts,Chocolate Brownie Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian dark chocolate spread and brownie crumble ... read more,270.0
Signature Flavours Mini Donuts,Chocolate Therapy Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian dark chocolate and choco chips [6 ... read more,270.0
Signature Flavours Mini Donuts,Cookies N Cream Mini Donuts [Blue Chocolate],1,0,Multigrain chocolate mini donuts topped with blue oreo chocolate spread [6 pcs],270.0
Signature Flavours Mini Donuts,Death By Chocolate Mini Donuts,1,0,Multigrain chocolate mini donuts topped with Belgian milk chocolate spread and lots of ... read more,320.0
Signature Flavours Mini Donuts,Nutella Brownie Mini Donuts,1,0,Multigrain chocolate mini donuts topped with nutella chocolate spread and brownie crumble [6 ... read more,290.0
Pizza [7 Inch - Jain Not Available],Fresh Farm House Pizza,1,0,"Pizza bread with fresh inhouse pizza sauce topped with baby corn, onion, capcium, ... read more",300.0
Pizza [7 Inch - Jain Not Available],Italian Pizza,1,0,"Pizza bread with fresh inhouse pizza sauce topped with onion, capcium, olives and ... read more",250.0
