Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Special Combos,4 Pav with Jain Bhaji,1,0,4 Pav+Jain Bhaji+Salad+Papad+Jeera Masala Cold Beverage [200 ml],190.0
Special Combos,4 Pav with Gotala Bhaji,1,0,4 Pav+Gotala Bhaji+Salad+Papad+Jeera Masala Cold Beverage [200 ml],245.0
Special Combos,4 Pav with Cheese Bhaji,1,0,4 Pav+Cheese Bhaji+Salad+Papad+Jeera Masala Cold Beverage [200 ml],220.0
Special Combos,4 Pav with Butter Bhaji,1,0,4 Pav+Butter Bhaji+Tawa Pulao+Lasooni Chutney+Salad+2 Papad+Jeera Masala Cold Beverage [200 ml],355.0
Special Combos,4 Pav with Butter Bhaji and Salad,1,0,4 Pav+Butter Bhaji+Salad+Papad+Jeera Masala Cold Beverage [200 ml],200.0
Special Combos,Tawa Pulao with Salad,1,0,Tawa Pulao+Salad+Papad+Lasooni Chutney+Masala Chaas,214.0
Special Combos,Kashmiri Pulao with Salad and Papad,1,0,Kashmiri Pulao+Salad+Papad+Curry+Masala Chaas,210.0
Special Combos,Cheese Tawa Pulao with Salad,1,0,Cheese Tawa Pulao+Salad+Papad+Lasooni Chutney+Masala Chaas,224.0
Special Combos,Veg Dry Manchurian with Veg Fried Rice,1,0,Veg Dry Manchurian+Veg Fried Rice+Salad+Jeera Masala Cold Beverage [200 ml],335.0
Special Combos,Veg Dry Manchurian with Veg Hakka Noodles,1,0,Veg Dry Manchurian+Veg Hakka Noodles+Salad+Jeera Masala Cold Beverage [200 ml],315.0
Special Combos,Veg Dry Manchurian with Chinese Bhel,1,0,Veg Dry Manchurian+Chinese Bhel+Salad+Jeera Masala Cold Beverage [200 ml],335.0
Special Combos,Veg 65 with Veg Fried Rice,1,0,Veg 65+Veg Fried Rice+Salad+Jeera Masala Cold Beverage [200 ml],355.0
Special Combos,Veg 65 with Veg Hakka Noodles,1,0,Veg 65+Veg Hakka Noodles+Salad+Jeera Masala Cold Beverage [200 ml],355.0
Special Combos,Masala Dosa with Jeera Masala Cold Beverage [200 ml],1,0,Veg 65+Veg Hakka Noodles+Salad+Jeera Masala Cold Beverage [200 ml],160.0
Special Combos,Sada Dosa with Jeera Masala Cold Beverage [200 ml],1,0,,130.0
Special Combos,Jini Roll Dosa with Jeera Masala Cold Beverage [200 ml],1,0,,220.0
Special Combos,Nylon Sada Dosa with Jeera Masala Cold Beverage [200 ml],1,0,,160.0
Special Combos,Paneer Cheese Surma Mysore Dosa Combo,1,0,Paneer Cheese Surma Mysore Dosa+Jeera Masala Cold Beverage [200 ml],230.0
Special Combos,Mysore Masala Dosa with Jeera Masala Cold Beverage [200 ml],1,0,Paneer Cheese Surma Mysore Dosa+Jeera Masala Cold Beverage [200 ml],190.0
