Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups And Salads,Classic Creamy Soup,1,0,,140.0
Soups And Salads,Clear Vegetable Soup,1,0,,115.0
Soups And Salads,Hawaiian Soup,1,0,,145.0
Soups And Salads,Hot And Sour Soup,1,0,[Spicy],140.0
Soups And Salads,Khow Suey Soup,1,0,,160.0
Soups And Salads,Lemon Coriander Soup,1,0,,140.0
Soups And Salads,Lemon Pepper Soup,1,0,[Spicy],140.0
Soups And Salads,Manchow Soup,1,0,[Spicy],135.0
Soups And Salads,Mexican Chilli Beans Soup,1,0,[Spicy],140.0
Soups And Salads,Minestrone Soup,1,0,,140.0
Soups And Salads,Oriental Soup,1,0,,135.0
Soups And Salads,Tangy Tomato Soup,1,0,,130.0
Soups And Salads,Thai Coriander Soup,1,0,,145.0
Soups And Salads,Tom Yum Soup,1,0,[Spicy],140.0
Soups And Salads,Vegetable Sweet Corn Soup,1,0,,130.0
Soups And Salads,American - Italian Pasta Salad,1,0,,180.0
Soups And Salads,Boondi Raita,1,0,,85.0
Soups And Salads,Farmers Choice Salad,1,0,,110.0
Soups And Salads,Pineapple Raita,1,0,,100.0
Soups And Salads,Russian Salad,1,0,,150.0
Soups And Salads,Vegetable Raita,1,0,,80.0
Soups And Salads,Waldorf Salad,1,0,,190.0
Starters,American Nachos,1,0,,295.0
Starters,Bruschetta With Cheese And Herbs,1,0,,225.0
Starters,Cheese Chilli Rolls,1,0,,240.0
Starters,Cheese Corn Salt And Pepper,1,0,[Spicy],250.0
Starters,Chinese Cheese Cigar,1,0,[Spicy],240.0
Starters,Crispy Fried Vegetables,1,0,[Spicy],195.0
Starters,Fried Corn Cheese Balls,1,0,,240.0
Starters,Garlic Bread With Cheese And Herbs,1,0,,195.0
Starters,Garlic Bread With Herbs,1,0,,140.0
Starters,Hara Bhara Kabab,1,0,,210.0
Starters,Mexican Tacos,1,0,,195.0
Starters,Mushroom Chilli,1,0,{Spicy],245.0
Starters,Mushroom Oriented Chilli,1,0,,270.0
Starters,Nachos With Cheese Sauce,1,0,,225.0
Starters,Paneer Chilli Dry,1,0,,270.0
Starters,Paneer Chilli Pepper Garlic,1,0,[Spicy],270.0
Starters,Paneer Cilantro,1,0,[Spicy],250.0
Starters,Paneer Red Pepper With Basil,1,0,[Spicy],260.0
Starters,Paneer Satay With Peanut Sauce,1,0,,280.0
Starters,Paneer Schezwan Rolls,1,0,[Spicy],225.0
Starters,Quesadilla,1,0,[Spicy],255.0
Starters,Shanghai Paneer,1,0,[Spicy],280.0
Starters,Sizzling Chilli Potato,1,0,[Spicy],210.0
Starters,Spring Rolls,1,0,[Spicy],180.0
Starters,Steak Paneer In Hotgarlic Sauce,1,0,[Spicy],280.0
Starters,Steak Paneer In Pepper Sauce,1,0,[Spicy],280.0
