Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Breakfast Specials,.Cappuccino.,1,0,"Introducing the new small size from Starbucks - Picco Cappuccino Dark, rich espresso lies ... read more",230.0
Breakfast Specials,.Latte.,1,0,Introducing the new small size from Starbucks - Picco Caffe Latte Energy - ... read more,235.0
Breakfast Specials,Caffe Americano,1,0,"Rich in flavour, full-bodied espresso with hot water in true European style. Short: ... read more",230.0
Breakfast Specials,Java Chip Frappuccino,1,0,We blend mocha sauce and Frappuccino chips with Frappuccino roast coffee and milk ... read more,305.0
Breakfast Specials,Egg White & Chicken In Multigrain Croissant,0,0,Fluffy egg white omlette and chicken ham sandwiched in multigrain croissant. Allergen - ... read more,355.0
Breakfast Specials,Tall Cold Coffee with Creamy Spinach & Corn Pocket,1,0,"""Meal for One! Enjoy Our rich in flavour espresso blended with delicate vanilla ... read more",530.0
Summer Specials,Belgium Chocolate Cream Frappuccino,1,0,Blend of decadent Belgian chocolate sauce with a whipped chocolate topping. The beverage ... read more,470.0
Summer Specials,Belgium Chocolate Frappuccino,1,0,Blend of decadent Belgian chocolate sauce and coffee with a whipped chocolate topping. ... read more,470.0
Summer Specials,Alphonso Mango Java Chip Frappuccino,1,0,Alphonso mango and milk are blended with ice and Java Chips to a ... read more,470.0
Summer Specials,Belgium Chocolate Latte,1,0,"Espresso with decadent Belgian chocolate sauce, mocha sauce and steamed milk. Topped with ... read more",395.0
Summer Specials,Iced Belgium Chocolate Latte,1,0,"Espresso with decadent Belgian chocolate sauce, mocha sauce and steamed milk served over ... read more",435.0
Summer Specials,Cold Brew with Ginger Ale,1,0,A delicious double layered cold brew beverage with ginger ale. A pure delight ... read more,375.0
Summer Specials,Sparkling Orange Cold Brew,1,0,Our signature cold brew paired perfectly with a splash of citrusy orange. Topped ... read more,375.0
Cold Beverages,Coffee Frappuccino,1,0,Coffee meets milk and ice in a blender and together they create one ... read more,295.0
