Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Mango Bliss [Summer Special],Eggless Mango Blueberry Pastry,1,0,"Crafted with care and attention to detail, our pastry begins with a light ... read more",260.0
Mango Bliss [Summer Special],Mango Raspberry Gateau,1,0,French dessert. Embark on a journey of tantalizing flavors with our mango raspberry ... read more,430.0
Mango Bliss [Summer Special],Creamy Mango Petit Gateau,1,0,"The creamy mango French dessert is a delightful fusion of rich, velvety cream ... read more",375.0
Mango Bliss [Summer Special],Mango Biscoff Cheesecake Tub [Large],1,0,"Inside this generous tub, you'll uncover layers of sheer delight. At the foundation ... read more",420.0
Mango Bliss [Summer Special],Mango Tres Leches Desert Tub [Large],1,0,Dive into a world of creamy indulgence and tropical delight with our mango ... read more,420.0
Eggless Cakes,Eggless Ferrero Rocher Cake [500 g],1,0,The rich chocolate cake layers provide a deep cocoa flavor that is complemented ... read more,1195.0
Eggless Cakes,Eggless Belgian Chocolate Cake,1,0,"Each bite is an explosion of intense chocolate flavor with deep, dark notes ... read more",1140.0
Eggless Cakes,Eggless Almond Praline Chocolate Cake [600 g],1,0,"The chocolate cake layers provide a rich and decadent cocoa flavor, while the ... read more",1195.0
Eggless Cakes,Eggless Opera Cake [500 g],1,0,"Layers of delicate almond sponge cake, soaked in rich coffee syrup, form the ... read more",1155.0
Eggless Cakes,Eggless Silken Chocolate Cake [500 g],1,0,The chocolate is rich and decadent with hints of vanilla and perhaps a ... read more,1185.0
Eggless Cakes,Eggless Red Velvet Cake [300 g],1,0,"Instead, it boasts a delicate cocoa flavour with a hint of tanginess from ... read more",600.0
Cheesecakes,New York Cheesecake,1,0,"Crafted with the finest cream cheese, velvety smooth and delicately sweetened, this cheesecake ... read more",275.0
Cheesecakes,Nutella Baked Cheesecake,1,0,The nutella cheesecake is a decadent dessert that combines the creamy richness of ... read more,335.0
Cheesecakes,Biscoff Cheesecake,1,0,Imagine diving into a velvety smooth cheesecake filling that is luxuriously rich and ... read more,335.0
Cheesecakes,Raspberry Cheesecake,1,0,[Veg preparation] The raspberry cheesecake is a delightful dessert that combines the creamy ... read more,335.0
Cheesecakes,Belgian Chocolate Cheesecake,1,0,The Belgian cheesecake is a decadent dessert that combines the velvety richness of ... read more,335.0
Cheesecakes,Blueberry Compote Cheesecake,1,0,"[Veg preparation] The cheesecake layer itself is characterized by its velvety smoothness, achieved ... read more",335.0
Cheesecakes,Triple Chocolate Cheesecake,1,0,"Prepare to be dazzled by our triple chocolate cheesecake extravaganza, a divine masterpiece ... read more",360.0
Cheesecakes,Nutella Cheesecake,1,0,Prepare to embark on a journey of pure indulgence with our nutella bliss ... read more,335.0
Cheesecakes,Blueberry Cheesecake,1,0,[Veg preparation] At the heart of our blueberry cheesecake lies a velvety smooth ... read more,315.0
Petit Gateau [French Dessert],Lemon Yuzu Tart,1,0,Indulge in the harmonious marriage of tangy citrus flavors with the lemon yuzu ... read more,375.0
Petit Gateau [French Dessert],Gooey Sea Salt and Caramel Petit Gateau,1,0,The gooey sea salt and caramel dessert is an exquisite combination of rich ... read more,440.0
Petit Gateau [French Dessert],Dark Chocolate Biscoff Petit Gateau,1,0,"The dark chocolate biscoff dessert offers a luxurious combination of rich, intense dark ... read more",400.0
Petit Gateau [French Dessert],Dark Chocolate Delice Petit Gateau,1,0,The dark chocolate delice is a sophisticated French dessert that embodies the essence ... read more,430.0
Petit Gateau [French Dessert],Milk Chocolate Oreo Petit Gateau,1,0,The milk chocolate Oreo dessert offers a decadent fusion of smooth milk chocolate ... read more,430.0
Petit Gateau [French Dessert],Pink Lady Petit Gateau,1,0,The pink lady dessert is a delicate and elegant French creation that delights ... read more,455.0
Dessert Tub,Brownie Sundae,1,0,"[Veg preparation] Imagine sinking your spoon into layers of velvety smooth chocolate mousse, ... read more",325.0
Dessert Tub,Tiramisu Desert Tub,1,0,Immerse yourself in the exquisite blend of flavors that define tiramisu layers of ... read more,480.0
Dessert Tub,Biscoff Desert Tub,1,0,"Picture yourself plunging a spoon into layers of velvety smoothness, where creamy Belgian ... read more",480.0
Dessert Tub,Black Forest Trifle,1,0,Transport your taste buds to the enchanting black forest with our delectable black ... read more,500.0
Pastries,Opera Pastry,1,0,"Embark on a journey of culinary sophistication with our opera pastry, a timeless ... read more",260.0
Pastries,Silken Chocolate Pastry,1,0,"Our Silken Chocolate Pastry begins with a base of delicate chocolate sponge cake, ... read more",195.0
Pastries,Ferrero Rocher Pastry,1,0,"With each heavenly bite, the Ferrero Rocher pastry offers a symphony of flavours ... read more",220.0
Brownies,Biscoff Brownie,1,0,The biscoff brownie is a divine marriage of rich chocolate and the unique ... read more,125.0
Brownies,Crinkle Brownie,1,0,"Picture biting into a decadent brownie that's moist and dense, with a deep ... read more",125.0
Brownies,Nutella Brownie,1,0,"Imagine sinking your teeth into a dense, fudgy brownie base that melts in ... read more",210.0
Brownies,Brownie Sandwich with Raspberry and Belgian Chocolate,1,0,[Veg preparation] Indulge in the ultimate treat with our exquisite Brownie Sandwich. Two ... read more,170.0
Brownies,Brownie Sandwich with Nutella and Belgian Chocolate,1,0,Elevate your taste experience with our heavenly Brownie Sandwich featuring the irresistible combination ... read more,170.0
Brownies,Coconut Chocolate Bounty,1,0,Picture biting into a luxurious chocolate coating that gives way to a luscious ... read more,365.0
Brownies,Brownie [Pack of 3],1,0,[Veg preparation] Nutella Brownie+Biscoff Brownie+Crinkle Brownie,415.0
Cupcakes,Chocolate Cupcake,1,0,"Chocolate cupcakes are a beloved classic, known for their rich and indulgent flavor.",130.0
Cupcakes,Red Velvet Cupcake,1,0,"Red velvet cupcakes offer a delightful combination of flavors, including subtle cocoa, mild ... read more",130.0
Cupcakes,Cupcake [Box of 6],1,0,Chocolate Cupcake [Box of 3]+Red Velvet Cupcake [Box of 3],700.0
Macarons,Belgian Chocolate Strawberry Macaron,1,0,"Our macarons are lovingly made using only the finest ingredients, including premium Belgian ... read more",125.0
Macarons,Milk Chocolate Hazelunt Macaron,1,0,"Each macaron features a crisp, yet delicately airy shell that gives way to ... read more",125.0
