Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Asian Soup,1,0,"Chilly, garlic, palak pest, ginger",149.0
Soups,Lemon Coriander Soup,1,0,,139.0
Soups,Minestrone Soup,1,0,,139.0
Soups,Sweet Corn Soup,1,0,,139.0
Soups,Tom Yum Soup,1,0,,139.0
Soups,Tomato Soup,1,0,,139.0
Soups,Trainian Special Soup,1,0,,159.0
Soups,Veg Hot And Sour Soup,1,0,,149.0
Soups,Veg Manchow Soup,1,0,,149.0
Starters,Baby Corn Chilli Dry,1,0,,209.0
Starters,Cheese Ball,1,0,,269.0
Starters,Crispy Veg In Schezwan,1,0,,199.0
Starters,Dragon Potato,1,0,,199.0
Starters,Drums Of Heaven,1,0,,199.0
Starters,Gobi Manchurian,1,0,,199.0
Starters,Golden Baby,1,0,,199.0
Starters,Honey Chilly Patato,1,0,,209.0
Starters,Mushroom Chilli Dry,1,0,,199.0
Starters,Spring Roll,1,0,,209.0
Starters,Thai Corn Fritter,1,0,,219.0
Starters,Veg 65,1,0,,199.0
Starters,Veg Lollipop,1,0,,199.0
Starters,Veg Manchurian Dry,1,0,,199.0
Paneer Starters,Chunky Paneer,1,0,,299.0
Paneer Starters,Crispy Thread Paneer,1,0,,319.0
Paneer Starters,Paneer 65,1,0,,299.0
Paneer Starters,Paneer Chilly Dry,1,0,,299.0
Paneer Starters,Paneer Dragon,1,0,,319.0
Paneer Starters,Paneer Hunan,1,0,,299.0
Paneer Starters,Paneer Kurkure,1,0,,299.0
Paneer Starters,Paneer Manchurian,1,0,,299.0
Paneer Starters,Paneer Tit Bit,1,0,,299.0
Tandoor Starter,Achari Paneer Tikka Dry,1,0,,309.0
Tandoor Starter,Aloo Tikka,1,0,,269.0
Tandoor Starter,Jodhpuri Peneer Tikka Dry,1,0,,299.0
Tandoor Starter,Lehsuni Paneer Tikka Dry,1,0,,319.0
Tandoor Starter,Lemon Paneer Tikka Dry,1,0,,309.0
Tandoor Starter,Malai Paneer Tikka Dry,1,0,,309.0
Tandoor Starter,Methi Malai Paneer Dry,1,0,,309.0
Tandoor Starter,Mushroom Tikka Dry,1,0,,299.0
Tandoor Starter,Paneer Tikka Dry,1,0,,299.0
Tandoor Starter,Peri Peri Paneer Tikka Dry,1,0,,309.0
Tandoor Starter,Smoke Paneer Tikka Dry,1,0,,319.0
Kebab,Chilly Cheese Kebab,1,0,,319.0
Kebab,Dahi Kebab,1,0,,289.0
Kebab,Hara Bhara Kebab,1,0,,289.0
Kebab,Veg Seek Kebab,1,0,,279.0
Chaap,Lehsuni Soya Chaap,1,0,,289.0
Chaap,Tandoori Chaap,1,0,,289.0
Platter,Tandoori Platter,1,0,"(Hara Bhara Kebab, Tandoori Aloa, Seek Kebab, Paneer Tikka)",499.0
Platter,Veg Platter,1,0,"Aloo tikka, Hara bhara Kebab, veg. seekh kebab, dahi kebab",499.0
From China House,Chilly Garlic Fried Rice,1,0,,219.0
From China House,Chilly Garlic Mushroom Fried Rice,1,0,,229.0
From China House,Hakka Noodles,1,0,,189.0
From China House,Hong Kong Noodles,1,0,,219.0
From China House,Korian Fried Rice,1,0,,219.0
From China House,Korian Noodles,1,0,,199.0
From China House,Manchurian Fried Rice,1,0,,189.0
From China House,Mexican Hub Fried Rice,1,0,,259.0
From China House,Peri Peri Noodles,1,0,,219.0
From China House,Peri Peri Rice,1,0,,199.0
From China House,Schezwan Noodles,1,0,,199.0
From China House,Singapuri Fried Rice,1,0,,219.0
From China House,Singapuri Noodles,1,0,,209.0
From China House,Thai Noodles,1,0,,209.0
From China House,Tripple Schezwan Fried Rice,1,0,,229.0
Churram Churram,Cheese French Fries,1,0,,159.0
Churram Churram,Cheese Masala Papad,1,0,,79.0
Churram Churram,French Fries,1,0,,129.0
Churram Churram,Fried Khichiya,1,0,,49.0
Churram Churram,Fried Papad,1,0,,30.0
Churram Churram,Masala Papad,1,0,,49.0
Churram Churram,Peri Peri French Fries,1,0,,169.0
Churram Churram,Roasted Khichiya,1,0,,49.0
Churram Churram,Roasted Papad,1,0,,25.0
Baked Dish,Baked Macroni,1,0,,289.0
Baked Dish,Veg Baked With Macroni,1,0,,299.0
