Restaurant URL,Name,Address,Cuisine,Area,Contact Number
https://www.zomato.com/surat/pizza-hut-athwa/order,Pizza Hut,"Shop TP 5, FP 251, 252, Upper Ground Floor, U/B-1, U/A-5 To 7, First Floor, O/B1 To 3, Paiki, Tribhovan Complex, Ghod Dod Road, Athwa, Surat","Pizza, Fast Food, Italian, Desserts, Beverage, Beverages",Athwa,"+919512642270, 18002022022"
https://www.zomato.com/surat/mysore-cafe-athwa/order,Mysore Cafe,"House 13/4, Daruwala Building, Surat Dumas Road, Athwa, Surat","South Indian, Street Food, Sandwic, Sandwich",Athwa,'+912612463767
https://www.zomato.com/surat/subway-athwa/order,Subway,"Shop U-3, Amrut Dhara Apartment, Ghod Dod Road, Opposite St.XY School, Athwa, Surat","Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wrap, Wraps",Athwa,'+917874591864
https://www.zomato.com/surat/taste-of-bhagwati-athwa/order,Taste Of Bhagwati,"Ground Floor, King Tower, Near Rangila Park, Ghod Dod Road, Athwa, Surat","North Indian, Chinese, Oriental, Italian, Fast Food, Desserts, Shake, Beverage, Beverages",Athwa,"+919512025825, +912612662222"
https://www.zomato.com/surat/haldirams-restaurant-athwa/order,Haldiram's Restaurant,"Unit 3, JCS Arcade, Opposite Joggers Park Panas, Ghoddod Road, Athwa, Surat","Mithai, North Indian, South Indian, Sandwich, Street Food, Biryani, Beverage, Beverages",Athwa,'+917030000146
https://www.zomato.com/surat/new-gangour-restaurant-athwa/order,New Gangour Restaurant,"B-52, Shramjivi Society, Vibhag-2, Opposite Passport Office, Shardayatan School, Athwa, Surat","North Indian, Gujarat, Gujarati",Athwa,'+919352642221
https://www.zomato.com/surat/51-rainbow-ice-creams-fastfood-athwa/order,51 Rainbow Ice Creams & Fastfood,"1, 2, Jawaharlal Nehru Garden, Chowpatty, Athwalines, Athwa, Surat","Ice Cream, Desserts, Sandwich, Burger, Pizza, Fast Food, Shake, Beverage, Beverages",Athwa,'+918980631333
https://www.zomato.com/surat/sai-fast-food-athwa/order,Sai Fast Food,"Shop U-4, Tribhuvan Complex, Ghod Dod Road, Athwa, Surat","Pizz, Pizza",Athwa,'+917433095276
https://www.zomato.com/surat/mealwale-athwa/order,Mealwale,"Plot 59, Subhash Nagar Society, Ramchowk, Ghod Dod Road, Athwa, Surat","North Indian, Biryani, Fast Foo, Fast Food",Athwa,'+917283980900
https://www.zomato.com/surat/theobroma-athwa/order,Theobroma,"Shop H1, H-2, Priyadarshini Complex, Ghod Dod Road Athwa, Surat","Bakery, Dessert, Desserts",Athwa,'+918182881881
