Restaurant URL,Name,Address,Cuisine,Area,Contact Number
https://www.zomato.com/surat/shree-khodiyar-kathiyawadi-dhaba-katargam/order,Shree Khodiyar Kathiyawadi Dhaba,"A-3, 4, 5, Puran Baug, Katargam, Surat","Gujarati, North Indian, Kathiyawadi, Street Food, Dessert, Desserts",Katargam,"+919978833522, +918140028787, +918141545450"
https://www.zomato.com/surat/jalaram-locho-and-rasawala-khaman-katargam/order,Jalaram Locho And Rasawala Khaman,"Plot 437/1, Kumbhar Faliya, Opposite Gotalawadi Tenament C, Katargam, Surat","Gujarati, Street Foo, Street Food",Katargam,'+919825966076
https://www.zomato.com/surat/baithack-taste-of-kulhad-katargam/order,Baithack - Taste Of Kulhad,"G-9, Shree Nilkanth Business Hub, Katargam, Surat","Tea, Coffee, Shake, Sandwich, Fast Food, Street Food, Beverage, Beverages",Katargam,'+917777955312
https://www.zomato.com/surat/shreeji-kathiyawadi-restaurant-katargam/order,Shreeji Kathiyawadi Restaurant,"Shop 6, 7, 8, 1st Floor, Gokul Apartment, Keshav Park Society, Ved Road, Katargam, Surat","Gujarati, North Indian, Kathiyawad, Kathiyawadi",Katargam,'+918460180240
https://www.zomato.com/surat/shubhlaxmi-katargam/order,Shubhlaxmi,"Shop 49, 50, 51, Laxmi Enclave, Opposite Gajera School, Katargam, Surat","Chinese, South Indian, Street Food, Pizza, Sandwich, Fast Food, Burge, Burger",Katargam,'+919512330316
https://www.zomato.com/surat/jay-jalaram-locho-rasawala-khaman-katargam/order,Jay Jalaram Locho & Rasawala Khaman,"FP 109, Patel Falia, Gotalawadi, Near Mansukhbhaini Chawl, Katargam, Surat","Gujarati, Fast Foo, Fast Food",Katargam,'+919979985012
https://www.zomato.com/surat/jalaram-locho-rasawala-khaman-katargam/order,Jalaram Locho & Rasawala Khaman,"5, Silver Plaza Appartment, People's Char Rasta, Katargam, Surat","Gujarati, Fast Foo, Fast Food",Katargam,"+917048276721, +918160693362"
https://www.zomato.com/surat/shree-raj-veg-khausa-katargam/order,Shree Raj Veg Khausa,"1, Vinayak Residency, Opposite Gajera School, Katargam, Surat","Gujarati, Fast Food, Street Foo, Street Food",Katargam,'+919909668209
https://www.zomato.com/surat/s-mevad-fast-food-katargam/order,S Mevad Fast Food,"Shop 2, Near Narayan Nagar Chaurasta, Katargam, Surat","Pizza, Burger, Sandwich, Fast Foo, Fast Food",Katargam,'+919909245987
https://www.zomato.com/surat/gitas-fast-food-katargam/order,Gita's Fast Food,"Plot 35-1-A, Shop 1, Ground Floor, Peoples Char Rasta, Katargam, Surat","Fast Foo, Fast Food",Katargam,'+916351744739
https://www.zomato.com/surat/darshan-restaurant-katargam/order,Darshan Restaurant,"Opposite Lake Garden, Lake Garden Road, Faliya, Minaxi Wadi, Katargam, Surat","North Indian, Chinese, Fast Food, Ice Crea, Ice Cream",Katargam,'+919979911010
https://www.zomato.com/surat/man-mohak-ice-cream-3-katargam/order,Man Mohak Ice Cream,"Shop 4, JP Chambers Katargam Darwaza, Katargam, Surat","Ice Cream, Desserts, Beverages, Shak, Shake",Katargam,'+919825161435
https://www.zomato.com/surat/kumar-sandwich-1-katargam/order,Kumar Sandwich,"Shop 4, Vinayak Residency, Opposite Gajera School, Katargam, Surat","Sandwich, Fast Food, Pizz, Pizza",Katargam,'+918879522898
https://www.zomato.com/surat/shree-nath-eggs-and-fast-food-katargam/order,Shree Nath Eggs And Fast Food,"205, Sant Asharam Apartment, Magan Nagar 2, Katargam, Surat","South Indian, Fast Food, Street Food, Chines, Chinese",Katargam,'+916204216650
https://www.zomato.com/surat/sr-fast-food-katargam/order,SR Fast Food,"Shop 10, Mahavir Nagar Society, Vishal Nagar, Opposite Gajera School, Katargam, Surat","Fast Food, Sandwich, Pizz, Pizza",Katargam,"+919925666753, +919925206093"
https://www.zomato.com/surat/i-love-brownies-katargam/order,I Love Brownies,"Shop 42/43, Ground Floor, Laxmi Enclave-2, Near Gajera School, Katargam, Surat","Desserts, Shak, Shake",Katargam,'+919377442999
https://www.zomato.com/surat/la-milano-pizzeria-katargam/order,La Milano Pizzeria,"Shop 21-23, Ground Floor, Laxmi Enclave-2, Laxmi Circle, Opposite Gajera School, Katargam, Surat","Pizza, Pasta, Italian, American, Mexican, Desserts, Beverages, Fast Foo, Fast Food",Katargam,'+919099119967
