Restaurant URL,Name,Address,Cuisine,Area,Contact Number
https://www.zomato.com/surat/jai-maa-narayan-green-chilli-pandesara/order,Jai Maa Narayan Green Chilli,"Shop 10, Avkar Shopping Center, Gujrat Housing Board, Pandesara, Surat","North Indian, Chinese, Mughlai, Biryani, South Indian, Fast Foo, Fast Food",Pandesara,"+919664777144, +919106561286"
https://www.zomato.com/surat/zorko-brand-of-food-lovers-1-pandesara/order,Zorko - Brand of Food Lovers,"Shop 1/2, Building 507, Jalaram Nagar, Guj House Board, Pandesara, Surat","Pizza, Burger, Sandwich, Pasta, Momos, Fast Food, Street Food, Beverage, Beverages",Pandesara,'+919913852711
https://www.zomato.com/surat/chatpata-pandesara/order,Chatpata,"Shop 1 & 2, B/197, LIG 336, GHB, Opposite Pandesara Police Choki, Jalaram Nagar, Near Pandesara, Surat","Burger, Fast Food, Pizza, Sandwich, Shake, Street Food, Coffe, Coffee",Pandesara,"+918320514020, +918320481180, +919726139208"
https://www.zomato.com/surat/monginis-pandesara/order,Monginis,"Shop 11, Ward 27/E, Lower Ground Floor, Shanti Corner, Kashi Nagar, Pandesara, Surat","Bakery, Dessert, Desserts",Pandesara,'+918530526352
https://www.zomato.com/surat/hotel-green-chilli-pandesara/order,Hotel Green Chilli,"31-C, Shop 10, Ground Floor, Gujarat Housing Board Shopping Centre, Pandesara, Surat","North Indian, Chinese, Biryani, Seafood, Rolls, Street Foo, Street Food",Pandesara,'+918160580022
https://www.zomato.com/surat/hot-cups-kafe-pandesara/order,Hot Cups Kafe,"G-19, KSB Olympia Complex, Pandesara, Surat","Sandwich, Pizza, Burger, Fast Food, Tea, Coffee, Shake, Beverage, Beverages",Pandesara,'+919979216160
https://www.zomato.com/surat/kekiz-the-cake-shop-pandesara/order,Kekiz The Cake Shop,"Shop G1, Plot 239, Ground Floor, Ashirwad Township 1, Opposite Ram Krushna Hindi Vidyalay School, Pandesara, Surat","Bakery, Dessert, Desserts",Pandesara,'+918347936208
https://www.zomato.com/surat/mr-samosa-king-pandesara/order,Mr. Samosa King,"Harinagar, Pandesara, Surat","Street Food, Fast Foo, Fast Food",Pandesara,'+919662875068
https://www.zomato.com/surat/biryani-haveli-pandesara/order,Biryani Haveli,"Hari Nagar 2, Pandesara, Surat","Biryani, Burger, Rolls, Street Foo, Street Food",Pandesara,'+919508103091
https://www.zomato.com/surat/prem-egg-house-pandesara/order,Prem Egg House,"Bamroli Road, Near Usha Auto Tyres, Udhna, Pandesara, Surat","Street Foo, Street Food",Pandesara,'+919898303116
https://www.zomato.com/surat/nitas-kitchen-fast-food-pandesara/order,Nita's Kitchen & Fast Food,"116, Shivam Row House, Near Mary Matha Public School, Pramukh Park Industrial Estate, Pandesara, Surat","North Indian, Street Foo, Street Food",Pandesara,'+917777901077
https://www.zomato.com/surat/bholenath-ice-cream-pandesara/order,Bholenath Ice-Cream,"Shop 21, Aashirwad Township-1, Shopping Center, Bamroli Road, Pandesara, Surat","Ice Cream, Shake, Beverage, Beverages",Pandesara,'+919054944573
https://www.zomato.com/surat/bun-n-bun-pandesara/order,Bun N Bun,"Athwa, Hari Nagar 2, Pandesara, Surat","Burger, Street Food, Rolls, Biryan, Biryani",Pandesara,'+919662875068
https://www.zomato.com/surat/a1-bombay-vada-pav-pandesara/order,A1 Bombay Vada Pav,"Plot 3, Aashirwad Township 2, Bamroli Road, Pandesara, Surat","Street Food, Fast Foo, Fast Food",Pandesara,'+919714480153
https://www.zomato.com/surat/kavyas-egg-corner-pandesara/order,Kavya's Egg Corner,"Shop 4, Ashirwad Township 2, Bamroli Road, Pandesara, Surat","Street Food, Fast Foo, Fast Food",Pandesara,'+917041103116
https://www.zomato.com/surat/waffle-house-pandesara/order,Waffle House,"Plot 228, Mohan Nagar, Bamroli Road, Pandesara, Surat","Waffle, Fast Food, Pizza, Street Food, Desserts, Shak, Shake",Pandesara,'+916352033852
https://www.zomato.com/surat/the-frankie-hub-pandesara/order,The Frankie Hub,"228, Mohan Nagar, Bamroli Road, Pandesara, Surat","Fast Food, Burger, Shak, Shake",Pandesara,'+916352033852
https://www.zomato.com/surat/pizza-castle-pandesara/order,Pizza Castle,"Plot 228, Mohan Nagar, Bamroli Road, Pandesara, Surat","Pizza, Te, Tea",Pandesara,'+916352033852
https://www.zomato.com/surat/annapurna-thali-pandesara/order,Annapurna Thali,"Plot 228, Mohan Nagar, Bamroli Road, Pandesara, Surat","North India, North Indian",Pandesara,'+916352033852
https://www.zomato.com/surat/anil-omlet-center-pandesara/order,Anil Omlet Center,"Udhna, Kash Nagar, Bamroli Road, Pandesara, Surat","Street Food, North India, North Indian",Pandesara,'+919825116420
https://www.zomato.com/surat/ahujas-recipes-pandesara/order,Ahuja's Recipes,"C-202, Shrungal Heaven, Bamroli-Althan Road, Opposite D-Mart, Pandesara, Surat","Chinese, Sandwich, Fast Food, Street Foo, Street Food",Pandesara,'+917405676255
https://www.zomato.com/surat/shree-ram-bhojnalya-pandesara/order,Shree Ram Bhojnalya,"Shop 1, Plot I 36, City industrial, Udhana Road, Pandesara, Surat","North India, North Indian",Pandesara,'+919725067814
https://www.zomato.com/surat/cheesy-bites-pandesara/order,Cheesy Bites,"90, Gayatri Nagar, Pandesara, Surat","Street Foo, Street Food",Pandesara,'+919898307442
