Restaurant URL,Name,Address,Cuisine,Area,Contact Number
https://www.zomato.com/surat/gazi-biryani-rander/order,Gazi Biryani,"124, Rangavdhut SOC 3, Near Ramnagar, Rander, Surat","Biryan, Biryani",Rander,'+918141049433
https://www.zomato.com/surat/mustak-amdawadi-tawa-fry-rander/order,Mustak Amdawadi Tawa Fry,"103, Paikee Amlipura Cause Way Road, Rander, Surat","North Indian, Mughlai, Chinese, Street Food, Sichua, Sichuan",Rander,'+919157333291
https://www.zomato.com/surat/shalimar-biryani-and-tawa-fry-rander/order,Shalimar Biryani And Tawa Fry,"16/C, 09, 9/103, C/2, Amlipura Street, Causeway Road, Rander, Surat","Mughlai, North Indian, Lebanes, Lebanese",Rander,'+919879221010
https://www.zomato.com/surat/asal-amdawadi-tawa-fry-1-rander/order,Asal Amdawadi Tawa Fry,"B 70/9, 16/C, Borwada, Opposite Sultaniya Gymkhana, Rander, Surat","North Indian, Chinese, Mughla, Mughlai",Rander,'+919033474868
https://www.zomato.com/surat/sainath-alupuri-and-khawsa-rander/order,Sainath Alupuri And Khawsa,"Sahaj Super Store, Honey Park Road, Adajan, Opposite 79 Square, Rander, Surat","Fast Food, Street Food, Sichua, Sichuan",Rander,'+918200748624
https://www.zomato.com/surat/hot-n-spice-rander/order,Hot N Spice,"Gulzar Apartment, Rander, Surat","Chinese, North Indian, Mughlai, Street Food, Beverage, Beverages",Rander,'+919742720222
https://www.zomato.com/surat/abu-al-baik-rander/order,Abu Al Baik,"Opposite Nemat Bunglow, Rander, Surat","Burger, Pizza, Fast Food, Seafoo, Seafood",Rander,'+919033733886
https://www.zomato.com/surat/chhaswala-rander/order,Chhaswala,"Shop 42, Ground Floor, Shree Nilkanth Business Hub, Singanpore, D Mart Road, Rander, Surat","Beverage, Beverages",Rander,'+919664552781
https://www.zomato.com/surat/sainath-live-aalu-puri-rander/order,Sainath Live Aalu Puri,"Shop 1, Sejal Complex, Mahavir Nagar, Opposite Rupali Cinema, Rander, Surat","Sandwich, Street Food, Sichua, Sichuan",Rander,'+918160678307
https://www.zomato.com/surat/guljar-biryani-and-caterers-rander/order,Guljar Biryani And Caterers,"Causeway Circle, Beside KGF Tea, Opposite Sultaniya Gymkhana, Rander, Surat","Biryani, North India, North Indian",Rander,"+916353879300, +919979461682"
https://www.zomato.com/surat/suman-mahila-gruh-udhyog-rander/order,Suman Mahila Gruh Udhyog,"Shop 1, Shanti Bhavan Apartment, Near Navyug College, Rander, Surat","Street Food, Gujarat, Gujarati",Rander,'+918141362131
https://www.zomato.com/surat/lijjat-tawa-fry-1-rander/order,Lijjat Tawa Fry,"Durgapuri Society, Morabhagal Crossing, Rander, Surat","North Indian, Chines, Chinese",Rander,"+917043844786, +919173844787"
https://www.zomato.com/surat/al-baik-1-rander/order,Al Baik,"3, Shop 1, 2, Alvee Row House, Rander, Surat","Fast Food, Pizza, Burge, Burger",Rander,'+919016961037
https://www.zomato.com/surat/kings-sandwich-rander/order,King's Sandwich,"Shop 43, Ground Floor, Shri Nilkanth Business Hub, Rander, Surat","Sandwic, Sandwich",Rander,'+917575024848
https://www.zomato.com/surat/tornittos-sandwich-rander/order,Tornitto's Sandwich,"Shop G/7, Ground Floor, Shree Nilkanth Business Hub, Rander, Surat","Sandwic, Sandwich",Rander,'+919879000323
https://www.zomato.com/surat/ghanshyam-fast-food-1-rander/order,Ghanshyam Fast Food,"66, Silver Stone Arcade, Near D Mart, Causeway Road, Rander, Surat","Street Food, Fast Foo, Fast Food",Rander,'+917984740675
https://www.zomato.com/surat/lizas-multi-cuisine-restaurant-rander/order,Liza's Multi Cuisine Restaurant,"Shop 1, Madni Society, New Gorat Road, Rander, Surat","North Indian, Chinese, Mughla, Mughlai",Rander,'+917097071971
https://www.zomato.com/surat/burger-hut-rander/order,Burger Hut,"Shop 6, Gulzar Housing Society, Rander, Surat","Burger, Pizza, Chines, Chinese",Rander,'+919033733886
https://www.zomato.com/surat/evergreen-bakery-rander/order,Evergreen Bakery,"B-8, Hari Om Nagar, Rander, Surat","Bakery, Dessert, Desserts",Rander,'+919039890048
https://www.zomato.com/surat/baba-omlet-rander/order,Baba Omlet,"Near Vaibhav Nagar Society, Mashal Circle, Palanpore Patiya, Rander, Surat","Fast Food, Street Food, Sichua, Sichuan",Rander,'+919825107725
https://www.zomato.com/surat/aunty-momos-rander/order,Aunty Momos,"Near Gulzar Complex, New Rander Road, Rander, Surat","Momo, Momos",Rander,'+916351428816
https://www.zomato.com/surat/mr-waffle-momos-rander/order,Mr. Waffle & Momos,"Opposite Sultaniya Gymkhana, Rander, Surat","Momos, Waffle, Dessert, Desserts",Rander,'+916351428816
https://www.zomato.com/surat/janta-ponkvada-rander/order,Janta Ponkvada,"4, Sangana Society, Near Navyug College, Rander, Surat","Street Foo, Street Food",Rander,'+919924888687
https://www.zomato.com/surat/the-belgian-waffle-creamery-rander/order,The Belgian Waffle & Creamery,"Opposite Sultania Gymkhana, New Rander Road, Rander, Surat","Dessert, Desserts",Rander,'+916351428816
