Restaurant URL,Name,Address,Cuisine,Area,Contact Number
https://www.zomato.com/surat/radhe-dhokla-rustampura/order,Radhe Dhokla,"Rustampura Main Road, Opposite Central Bank, Rustampura, Surat","North Indian, Chinese, Gujarati, Biryani, Street Foo, Street Food",Rustampura,'+919586871112
https://www.zomato.com/surat/pizza-castle-rustampura/order,Pizza Castle,"306, Patel Colony, Padma Nagar Estate, Rustampura, Surat","Pizz, Pizza",Rustampura,'+919374947753
https://www.zomato.com/surat/chatpata-rustampura/order,Chatpata,"62 A, Mira Krupa Cooperative Housing Society, Rustampura, Surat","Fast Food, Burge, Burger",Rustampura,'+919924224635
https://www.zomato.com/surat/halwal-mahal-rustampura/order,Halwal Mahal,"306, Patel Colony, Padma Nagar Estate, Near Dena Bank, Rustampura, Surat","Desserts, Mithai, Shak, Shake",Rustampura,'+919374947753
https://www.zomato.com/surat/cream-n-crust-rustampura/order,Cream 'N' Crust,"Shop 1, Siddhivinayak Complex, Below Harsh Hospital, Wadi Mohollo Road, Singapuri Wadi, Rustampura, Surat","Bakery, Fast Food, Dessert, Desserts",Rustampura,'+917405116600
https://www.zomato.com/surat/the-thikshake-factory-rustampura/order,The Thikshake Factory,"Flat 306, Patel Colony, Padma Nagar Estate, Opposite Dena Bank, Rustampura, Surat","Shake, Beverage, Beverages",Rustampura,'+919374947753
https://www.zomato.com/surat/ambika-dairy-sweets-rustampura/order,Ambika Dairy & Sweets,"H 2/5188-89, B 2, Ground Floor, Near Singapuri Wadi, Rustampura Main Road, Rustampura, Surat","Desserts, Beverages, Mitha, Mithai",Rustampura,'+919974586862
https://www.zomato.com/surat/champak-bhai-bhandari-kabab-chicken-rustampura/order,Champak Bhai Bhandari Kabab & Chicken,"2/813, Hiramodi Ni Sheri, Sagrampura, Rustampura, Surat","North Indian, Mughlai, Kebab, Seafood, Street Foo, Street Food",Rustampura,'+917575027344
https://www.zomato.com/surat/la-casa-thick-shake-rustampura/order,La-casa Thick Shake,"306, Padma Nagar Estate, Patel Colony, Rustampura, Surat","Shake, Tea, Beverage, Beverages",Rustampura,'+919374947753
https://www.zomato.com/surat/dominos-pizza-rustampura/order,Domino's Pizza,"Shop 4, Ground Floor, Shhlok Business Centre, Ring Road, Khatodara, Udhana Darwaja, Rustampura, Surat","Pizza, Italian, Pasta, Fast Food, Dessert, Desserts",Rustampura,'+919033660555
