Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Cakes,Death By Chocolate Cake,1,0,,706.0
Cakes,KitKat Cake,1,0,,706.0
Cakes,Oreo Cake,1,0,,706.0
Cakes,Red Velvet Choco Raspberry Cake,1,0,,910.0
Cakes,Red Velvet Chocolate Cake,1,0,,706.0
Cakes,Red Velvet Cream Cheesecake,1,0,,706.0
Cakes,Roasted Almond Cake,1,0,,706.0
Cakes,Chocolate Lava Cake,1,0,,95.0
Cakes,Black Forest Cake,1,0,,485.0
Cakes,Butterscotch Cake,1,0,,550.0
Cakes,Pineapple Cake,1,0,,510.0
Cakes,Blackcurrant Delight Cake,1,0,,650.0
Cakes,Blueberry Delight Cake,1,0,,600.0
Cakes,Chocolate Ganache Cake,1,0,,650.0
Cakes,Chocolate Overload Cake,1,0,,650.0
Cakes,Chocolate Strawberry Cake,1,0,,580.0
Cakes,Chocolate Truffle Cake,1,0,,890.0
Cakes,Chocolate Zebra Cake,1,0,,650.0
Cakes,Coffee Cake,1,0,,590.0
Cakes,Dutch Truffle Cake,1,0,,740.0
Cakes,Raspberry Delight Cake,1,0,,650.0
Cakes,Strawberry Cake,1,0,,550.0
Cakes,Swiss Chocolate Cake,1,0,,550.0
Cakes,Choco Chips Cake,1,0,,580.0
Cakes,Lychee Cake,1,0,,580.0
Cakes,Mango Cake,1,0,,580.0
Cakes,White Forest Cake,1,0,,588.0
Desserts,Blueberry Cup Mousse,1,0,,49.0
Desserts,Caramel Brownie,1,0,,160.0
Desserts,Choco Chips Brownie,1,0,,160.0
Desserts,Chocolate Cup Mousse,1,0,,49.0
Desserts,Chunky Chocolate Muffin,1,0,,48.0
Desserts,Coffee Cup Mousse,1,0,,49.0
Desserts,Dark Chocolate Brownie,1,0,,160.0
Desserts,Hazelnut Brownie,1,0,,160.0
Desserts,Mango Cup Mousse,1,0,,49.0
Desserts,Oreo Brownie,1,0,,210.0
Desserts,Pineapple Cup Mousse,1,0,,49.0
Desserts,Strawberry Cup Mousse,1,0,,49.0
Desserts,Walnut Brownie,1,0,,160.0
Ice Creams,Chocolate Ice Cream,1,0,,90.0
Doughnuts,Chocolate Ring Doughnut,1,0,Large premium donuts with fillings and toppings.,90.0
Doughnuts,Dark Chocolate Ring Doughnut,1,0,Large premium donuts with fillings and toppings.,90.0
Doughnuts,Strawberry Filled Doughnut,1,0,,90.0
Doughnuts,White Choco Filled Doughnut,1,0,,90.0
Burger & Sandwiches,Paneer Panini Sandwich,1,0,,150.0
Burger & Sandwiches,Paneer Burger,1,0,,140.0
Burger & Sandwiches,Veg Burger,1,0,,80.0
