Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Chips,A1 Ultra Thin Banana Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",111.61
Chips,Banana Chilli Masala Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Banana IV Cut Curry Leaf Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Banana Malabar Masala Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Banana Pepper Masala Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Banana Salsa Masala Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Banana Sweet Chilli Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Plantain Tandoori Chips,1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",116.07
Chips,Banana Crispy Chips [250 grams],1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",111.61
Chips,Banana Fruit Chips [250 grams],1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",111.61
Chips,Banana IV Cut Salted Chips [250 grams],1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",111.61
Chips,Banana Jaggery Chips [250 grams],1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",111.61
Chips,Plantain Chips [250 grams],1,0,"Taste the crispiness of fresh banana chips, perfectly sliced and made with pure ... read more",111.61
Chips,Aloo Tandoori Potato Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",98.21
Chips,Potato Finger Chilli Onion Chips,1,0,,46.43
Chips,Potato Finger Chilli Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",46.43
Chips,Potato Finger Salted Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",46.43
Chips,Potato Finger Tomato Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",46.43
Chips,Potato Padapat Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",46.43
Chips,Potato Zigzag Pudina Flavour Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",98.21
Chips,Potato Zigzag Tomato Flavour Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",98.21
Chips,Potato Chips Chilli Mangai [100 grams],1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",49.11
Chips,Potato Chilli Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",49.11
Chips,Potato Pepper Chips [200 grams],1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",93.75
Chips,Potato Peri Peri Chips [100 grams],1,0,,49.11
Chips,Potato Salted Chips,1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",49.11
Chips,Potato Cream N Onion Chips [100 grams],1,0,,49.11
Chips,Potato Zigzag Spicy Garlic Chips [100 grams],1,0,"Taste the crispiness of fresh potato chips, perfectly sliced and made with pure ... read more",49.11
Chips,Tapioca Chilli Chips [200 grams],1,0,"Taste the crispiness of fresh tapioca chips, perfectly sliced and made with pure ... read more",75.89
Chips,Tapioca Salted Chips [200 grams],1,0,"Taste the crispiness of fresh tapioca chips, perfectly sliced and made with pure ... read more",75.89
Chips,Tapioca Double Spicy Chips [250 grams],1,0,"Taste the crispiness of fresh tapioca chips, perfectly sliced and made with pure ... read more",98.21
Chips,Tapioca Finger Chilli Chips [200 grams],1,0,"Taste the crispiness of fresh tapioca chips, perfectly sliced and made with pure ... read more",75.89
Chips,Bitter Gourd Chips,1,0,"Taste the crispiness of our special chips, perfectly sliced and made with pure ... read more",133.93
Chips,Jackfruit Chips [250 grams],1,0,,133.93
Chips,Ginger Chips [100 grams],1,0,"Taste the crispiness of our special chips, perfectly sliced and made with pure ... read more",71.43
Chips,Sweet Gooseberry Chips [100 grams],1,0,,53.57
Puffed,Pepper Appalam [200 grams],1,0,Experience the light and airy crunch of our puffed snacks. Made from premium ... read more,70.0
