Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Match Day Combos,Veg - Momo Combo For 2,1,0,"Combo for two (Rice/Noodle, Veg Gravy, Momos & Drinks)",579.0
Match Day Combos,Veg - Starter Combo For 2,1,0,"Combo for two (Rice/Noodle, Veg Gravy, Starters & Drinks)",679.0
Match Day Combos,Chicken - Momo Combo For 2,1,0,"Combo for two (Rice/Noodle, Non-Veg Gravy, Momos & Drinks)",639.0
Match Day Combos,Chicken - Starter Combo For 2,1,0,"Combo for two (Rice/Noodle, Non-Veg Gravy, Non- Veg Starters & Drinks)",739.0
Match Day Combos,Combo for 1 Veg,1,0,"Combo for one (Rice/Noodle Bowl with choice of Veg Gravy, Veg Momos & ... read more",359.0
Match Day Combos,Combo for 1 Non-Veg,1,0,"Combo for one (Rice/Noodle Bowl with choice of Non-Veg Gravy, Non- Veg Momos ... read more",379.0
Pot Rice,Veg Manchurian Pot Rice,1,0,,425.0
Pot Rice,Paneer Pot Rice,1,0,,425.0
Pot Rice,Chicken Pot Rice,1,0,,455.0
Starters & Soup,Hunan Paneer Dry,1,0,"(Spicy) Cubes Of Paneer, Onion, Capsicum Tossed With Spicy & Savory flavors of ... read more",299.0
Starters & Soup,Schezwan Paneer Dry,1,0,"(Spicy) Cubes Of Paneer, Onion, Capsicum Tossed With Schezwan Sauce.",319.0
Starters & Soup,Paneer Manchurian Dry,1,0,"(Peppery & non Spicy) Paneer, onion and capsicum tossed in classic Manchurian sauce.",319.0
Starters & Soup,Manchurian Ball In Choice Of Sauce,1,0,"Manchurian balls tossed with Capsicum, Onion in choice of Sauce. desi chilli sauce ... read more",289.0
Starters & Soup,Black Pepper Paneer Dry,1,0,(Peppery & Non Spicy) Paneer & Veggies Tossed With Our In House Black ... read more,299.0
Starters & Soup,Veg Spring Roll,1,0,Mixed vegetables & noodles encased in crispy spring roll sheet served with sweet ... read more,239.0
Starters & Soup,Sweet Chilli Potato,1,0,"Potato shots tossed with onion, capsicum, chilli flakes and sweet chilli sauce with ... read more",279.0
Starters & Soup,Manchurian Potato,1,0,"(Peppery & Non Spicy) Potato shots tossed with onion, capsicum and Manchurian sauce.733.36kcal",279.0
Starters & Soup,Veg Manchurian Dry,1,0,"(Peppery & non Spicy) Mix veg fried balls, onion and capsicum tossed in ... read more",279.0
Starters & Soup,Kung Pao Paneer Dry,1,0,"(Medium Spicy) Cubes Of Paneer, Onion, Capsicum Tossed With Kung Pao Sauce. ... read more",329.0
Starters & Soup,Paneer Chilli Dry,1,0,"(Spicy) Paneer cubes, green chillies, onion, capsicum tossed in desi chilli sauce finished ... read more",329.0
Starters & Soup,Hunan Chicken Dry,1,0,"(Spicy) Diced chicken, Onion, Capsicum Tossed With Spicy & Savory flavors of Hunan ... read more",339.0
Starters & Soup,Schezwan Chicken Dry,1,0,"(Spicy) Diced Chicken, Onion, Capsicum Tossed With Schezwan Sauce.",339.0
Starters & Soup,Black Pepper Chicken Dry,1,0,(Peppery & Non Spicy) Chicken & Veggies tossed with our in house ... read more,339.0
Starters & Soup,Chicken Spring Roll,1,0,Minced chicken encased in crispy spring roll sheet served with sweet chilli sauce.390.36kal,279.0
Starters & Soup,Kung Pao Chicken Dry,1,0,(Medium Spicy) Chicken cubes tossed with Kung Pao sauce. 485.8kcal,339.0
Starters & Soup,Sweet Chilli Chicken Dry,1,0,"Diced chicken tossed with onion, capsicum, chilli flakes and sweet chilli sauce with ... read more",309.0
Starters & Soup,Chilli Chicken Dry,1,0,"(Spicy) Diced chicken, green chillies, onion, capsicum tossed in desi chilli sauce finished ... read more",339.0
Starters & Soup,Manchurian Chicken Dry,1,0,"(Peppery & Non Spicy) Diced chicken, onion and capsicum tossed in classic Manchurian ... read more",339.0
Starters & Soup,Veg Manchow Soup with Crispy Noodles,1,0,A local favourite with veggies topped with crunchy fried noodles. 258.11kcal,189.0
Starters & Soup,Veg Schezwan Noodle Soup,1,0,Mixed vegetables and boiled hakka noodles flavored with crowd favourite schezwan sauce. 251.26kcal,189.0
Starters & Soup,Chicken Manchow Soup with Crispy Noodles,1,0,A local favourite with chicken and egg topped with crunchy fried noodles. 277.25kcal,209.0
Starters & Soup,Chicken Schezwan Noodle Soup,1,0,"Mixed vegetables, boiled Hakka noodles, egg and chicken flavored with crowd favorite schezwan ... read more",209.0
Momos - 6 Pcs,Steamed Veg Wheat Momos With Momo Chutney,1,0,Aromatic mixture of minced vegetables encased in wheat wrapper. Served with momo chutney,250.0
Momos - 6 Pcs,Steamed Classic Veg Momos with Momo Chutney,1,0,"Delicious mixture of chopped vegetables enveloped in a thin wrapper, steamed to perfection, ... read more",210.0
Momos - 6 Pcs,Steamed Veg Darjeeling Momo With Momo Chutney,1,0,"Flavorful minced vegetables encased in thin wrapper, served with momo chutney",220.0
Momos - 6 Pcs,Steamed Schezwan Paneer Momo with Momo Chutney,1,0,Paneer filling mixed with indian spices and schezwan sauce enveloped in a thin ... read more,230.0
Momos - 6 Pcs,Steamed Corn & Cheese Momo with Momo Chutney,1,0,"Melted cheese mixed with yellow corn enveloped in a thin wrapper, steamed to ... read more",230.0
Momos - 6 Pcs,Steamed Chicken Wheat Momos With Momo Chutney,1,0,Aromatic chicken mince encased in wheat wrapper.Served with momo chutney,280.0
Momos - 6 Pcs,Steamed Chicken Classic Momos with Momo Chutney,1,0,"Delicious mix of juicy minced chicken filling enveloped in a thin wrapper, steamed ... read more",250.0
Momos - 6 Pcs,Steamed Chicken Darjeeling Momo With Momo Chutney,1,0,"Flavorful chicken mince encased in thin wrapper, served with momo chutney",260.0
Momos - 6 Pcs,Steamed Chicken Schezwan with Momo Chutney,1,0,Chicken mince filling mixed with indian spices and schezwan sauce enveloped in a ... read more,260.0
Momos - 6 Pcs,Steamed Chicken Corn & Cheese with Momo Chutney,1,0,Melted cheese mixed with minced chicken and yellow corn enveloped in a thin ... read more,260.0
Momos - 6 Pcs,Fried Veg Wheat Momos With Momo Chutney,1,0,Aromatic mixture of minced vegetables encased & fried in wheat wrapper. Served with ... read more,270.0
Momos - 6 Pcs,Fried Classic Veg Momos with Momo Chutney,1,0,"Delicious mixture of chopped vegetables enveloped in a thin wrapper, fried to perfection, ... read more",230.0
Momos - 6 Pcs,Fried Veg Darjeeling Momos With Momo Chutney,1,0,"Flavorful minced vegetables encased in thin wrapper, crispy fried & served with ... read more",240.0
Momos - 6 Pcs,Fried Paneer Schezwan Momos with Momo Chutney,1,0,Paneer filling mixed with indian spices and schezwan sauce enveloped in a thin ... read more,250.0
Momos - 6 Pcs,Fried Veg Corn n' Cheese Momos with Momo Chutney,1,0,"(6 Pcs) melted cheese mixed with yellow corn enveloped in a thin wrapper, ... read more",250.0
Momos - 6 Pcs,Fried Chicken Wheat Momos With Momo Chutney,1,0,Aromatic chicken mince encased & fried in wheat wrapper. Served with momo chutney,300.0
