Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Veg Soups,Cream Of Mushroom,1,0,,100.0
Veg Soups,Cream Of Tomato,1,0,,100.0
Veg Soups,French Onion Soup,1,0,,65.0
Veg Soups,Hot & Sour Soup,1,0,,65.0
Veg Soups,Lemon Coriander Soup,1,0,,65.0
Veg Soups,Manchow Soup,1,0,,65.0
Veg Soups,Veg Clear Soup,1,0,,60.0
Non-Veg Soup,Chicken Chettinad Soup,1,0,,100.0
Non-Veg Soup,Crab Hot Pepper Soup,1,0,,120.0
Non-Veg Soup,Lemon Coriander Chicken,1,0,,100.0
Non-Veg Soup,Mutton Soup,1,0,,150.0
Non-Veg Soup,Sweet Corn Chicken Soup,1,0,,110.0
Non-Veg Starter,Chicken Cheese Nuggets,1,0,,135.0
Non-Veg Starter,Chicken Fingers (6Pcs),1,0,,145.0
Non-Veg Starter,Chicken Nuggets,1,0,,110.0
Non-Veg Starter,Chicken Popcorn Hotbox,1,0,,155.0
Non-Veg Starter,Chicken Popcorn,1,0,,145.0
Non-Veg Starter,Chicken Strips Hotbox,1,0,,179.0
Non-Veg Starter,Chicken Strips,1,0,,159.0
Chinese Veg Starter,Dragon 65,1,0,,199.0
Chinese Veg Starter,Gobi 65,1,0,,179.0
Chinese Veg Starter,Gobi Chilli 65,1,0,,179.0
Chinese Veg Starter,Gobi Manchurian 65,1,0,,179.0
Chinese Veg Starter,Golden Baby Corn,1,0,,159.0
Chinese Veg Starter,Honey Chilli Potato,1,0,,159.0
Chinese Veg Starter,Maharani 65,1,0,,179.0
Chinese Veg Starter,Manchurian 65,1,0,,179.0
Chinese Veg Starter,Monica 65,1,0,,179.0
Chinese Veg Starter,Mushroom 65,1,0,,179.0
Chinese Veg Starter,Paneer Dynamite,1,0,,199.0
Chinese Veg Starter,Paneer Japnese,1,0,,239.0
Chinese Veg Starter,Paneer Maharani 65,1,0,,199.0
Chinese Veg Starter,Paneer Manchurian 65,1,0,,199.0
Chinese Veg Starter,Panner 65,1,0,,199.0
Chinese Veg Starter,Veg Ball Manchurian,1,0,,179.0
Chinese Non-Veg Starter,Appolo Fish,1,0,,239.0
Chinese Non-Veg Starter,Chicken 007 (Boneless),1,0,,199.0
Chinese Non-Veg Starter,Chicken Dry Fry (With Bone),1,0,,179.0
Chinese Non-Veg Starter,Chicken Hot Pepper (Boneless),1,0,,349.0
Chinese Non-Veg Starter,Chicken Majestic (Boneless),1,0,,219.0
Chinese Non-Veg Starter,Dragon Chicken (Boneless),1,0,,199.0
Chinese Non-Veg Starter,Fish Chilli,1,0,,239.0
Chinese Non-Veg Starter,Fish Hot Pepper,1,0,,239.0
Chinese Non-Veg Starter,Fish Maharani,1,0,,239.0
Chinese Non-Veg Starter,Fish Manchurian,1,0,,239.0
Chinese Non-Veg Starter,Honey Chicken (Boneless),1,0,,199.0
Chinese Non-Veg Starter,Hong-Kong Chicken(Boneless),1,0,,219.0
Chinese Non-Veg Starter,Lemon Chicken (Boneless),1,0,,199.0
Chinese Non-Veg Starter,Pineapple Chicken (Boneless),1,0,,339.0
Wraps Continental,Mushroom Wrap,1,0,,125.0
Wraps Continental,Paneer Wrap,1,0,,135.0
Wraps Continental,Royal Wrap Meal,1,0,(Wrap+French Fries+Small +Lemon Juice),140.0
Wraps Continental,Royal Wrap,1,0,,170.0
Wraps Continental,Veg Coaktail,1,0,,120.0
Wraps Continental,Wrap Meal,1,0,(Wrap+French Fries+Small +Lemon Juice,190.0
Rolls Indian Style,Chicken Roll,1,0,,169.0
Rolls Indian Style,Fish Roll,1,0,,159.0
Rolls Indian Style,Mutton Roll,1,0,,189.0
Rolls Indian Style,Paneer Roll,1,0,,139.0
Rolls Indian Style,Roll Meal,1,0,(Rolls +French Fries+lemon juice),229.0
Rolls Indian Style,Royal Roll Meal,1,0,(Rolls +French Fries+lemon juice),189.0
Sandwiches,Bbq Paneer Sandwich,1,0,,169.0
Sandwiches,Cheese Sandwich,1,0,,129.0
Sandwiches,Choco Cheese,1,0,,129.0
Sandwiches,Corn & Garlic Sandwich,1,0,,159.0
Sandwiches,Mexican Spicy Sandwich,1,0,,149.0
Sandwiches,Mushroom Mania,1,0,,159.0
Sandwiches,Veg Club Sandwich,1,0,,169.0
Sandwiches,Veg- Sandwich,1,0,,129.0
Sandwiches,Zinker Special Sandwich,1,0,,240.0
Non-Veg Sandwich,Bbq Chicken Sandwich,1,0,,199.0
Non-Veg Sandwich,Chicken & Corn Sandwich,1,0,,179.0
Non-Veg Sandwich,Chicken Mayo Sandwich,1,0,,169.0
Non-Veg Sandwich,Chicken Sausage Sandwich,1,0,,179.0
Non-Veg Sandwich,Chicken Tikka Sandwich,1,0,,199.0
Non-Veg Sandwich,Garlic Chicken Sandwich,1,0,,179.0
Non-Veg Sandwich,Salami Chicken Sandwich,1,0,,179.0
Crispy Fried Chicken,Crispy Fried Chicken (1 Piece),1,0,,109.0
Crispy Fried Chicken,Crispy Fried Chicken (??????),1,0,,119.0
Crispy Fried Chicken,Crispy Fried Chicken (Boneless Hotbox),1,0,,159.0
Crispy Fried Chicken,Crispy Fried Chicken (Boneless),1,0,,139.0
Crispy Fried Chicken,Crispy Fried Wings,1,0,,179.0
Veg Burgers,Veg Double Decker With Cheese,1,0,,179.0
Veg Burgers,Veg Double Decker,1,0,,149.0
Veg Burgers,Veg Regular Burger,1,0,,109.0
Veg Burgers,Veg Regular With Cheese,1,0,,119.0
Herbal Burgers,Herbal Chilli Potato Burger,1,0,,179.0
Herbal Burgers,Herbal Chilli Potato With Cheese,1,0,,199.0
Paneer Burgers,Paneer Double Decker Burger,1,0,,199.0
Paneer Burgers,Paneer Double Decker With Cheese,1,0,,229.0
Paneer Burgers,Paneer Regular Burger,1,0,| Serve 1 |,169.0
Paneer Burgers,Paneer Regular With Cheese Burger,1,0,,189.0
Non Veg-Burgers,Chicken Cheese Burger,1,0,,159.0
Non Veg-Burgers,Chicken Double Decker With Cheese,1,0,,189.0
Non Veg-Burgers,Chicken Double Decker,1,0,,169.0
Non Veg-Burgers,Chicken Regular Burger,1,0,| Serve 1 | | Served with Hot Sauce |,129.0
Non Veg-Burgers,Chicken Tikka Burger,1,0,,199.0
Non Veg-Burgers,Chixy King Burger With Cheese,1,0,Fried Chicken + Chicken Patty),259.0
Non Veg-Burgers,Chixy King Burger,1,0,Fried Chicken + Chicken Patty),240.0
Non Veg-Burgers,Fried Chicken Zinger Burger With Cheese,1,0,,249.0
Non Veg-Burgers,Fried Chicken Zinger Burger,1,0,,199.0
Veg-Pizza,Cornucopia Pizza,1,0,(Sweet Corn+Garlic+Green Olives,319.0
Veg-Pizza,Farm Fresh Pizza,1,0,Onion+ Capsicum+ Tomato+ Green Olives,299.0
Veg-Pizza,Golden Corn Pizza,1,0,(Sweet Corn +Chees),299.0
Veg-Pizza,Margherita Pizza,1,0,(Cheese + Green Olives),299.0
Veg-Pizza,Spicy Tripple Tango,1,0,(Mushroom+Corn+Black Olives+Capsicum+Jalapeno + Tomato+ Onion+ Pepper),419.0
Veg-Pizza,Veg Fantasy Pizza,1,0,(Mushroom+Garlic+ Capsicum+ ??????),299.0
Veg-Pizza,Veg Supreme Pizza,1,0,(Paneer+Capsicum+Onion+Tomato + Green Olives,359.0
Non Veg-Pizza,Bbq Chicken Pizza,1,0,Tomato+Black Olives+ Bbq+Chicken),359.0
