Restaurant URL,Name,Address,Cuisine,Area,Contact Number
https://www.zomato.com/coimbatore/10-munch-peelamedu/order,10 Munch,"154/399, Mariamman Kovil Street, Peelamedu, Coimbatore","North India, North Indian",Peelamedu,'+919514705679
https://www.zomato.com/coimbatore/1c-dining-1-vadavalli/order,1C Dining,"416, Bharathidasan Street, PN Pudur, Vadavalli, Coimbatore","Biryani, Chettinad, Charcoal Chicken, Chinese, North Indian, Seafood, Shawarma, South India, South Indian",Vadavalli,"+918056433433, +919894786959"
https://www.zomato.com/coimbatore/3-monkeys-cafe-saibaba-colony/order,3 Monkey's Cafe,"9 A, Raja Annamalai Road, Saibaba Colony, Coimbatore","Burger, Sandwich, Fast Food, Shake, Beverage, Beverages",Saibaba Colony,'+919677713163
https://www.zomato.com/coimbatore/a-to-z-palamudir-nilayam-gandhipuram/order,A To Z Palamudir Nilayam,"352, Nehru Street, Ram Nagar, Gandhipuram, Coimbatore","Shake, Juices, Beverages, Sala, Salad",Gandhipuram,'+919894252902
https://www.zomato.com/coimbatore/a1-biryani-fast-food-center-rs-puram/order,A1 Biryani & Fast Food Center,"Thadagam Road, TVS Nagar, RS Puram, Coimbatore","Biryani, Fast Foo, Fast Food",RS Puram,'+918144942624
https://www.zomato.com/coimbatore/a1-chips-since-1970-2-gandhipuram/order,A1 Chips -Since 1970,"184, Sarojini Naidu Street, Siddhapudur Road, Gandhipuram, Coimbatore","Street Food, Mitha, Mithai",Gandhipuram,'+919489041018
https://www.zomato.com/coimbatore/a2a-restaurant-lakshmi-mills/order,A2A Restaurant,"83, 4th Street, Kamaraj Nagar, Avaramapalayam, Lakshmi Mills, Coimbatore","South Indian, North Indian, Chinese, Sichuan, Seafood, Biryani, Fast Food, Dessert, Desserts",Lakshmi Mills,'+919043530085
https://www.zomato.com/coimbatore/a2b-adyar-ananda-bhavan-gandhipuram/order,A2B - Adyar Ananda Bhavan,"313, Bhartiyar Road, Gandhipuram, Coimbatore","South Indian, North Indian, Mithai, Sandwich, Chinese, Fast Food, Desserts, Street Foo, Street Food",Gandhipuram,'+914222521919
https://www.zomato.com/coimbatore/aachi-foods-rs-puram/order,Aachi Foods,"656, Moondru Kambam, Sukerwarpet, RS Puram, Coimbatore","South Indian, Biryani, Chines, Chinese",RS Puram,'+919443655003
https://www.zomato.com/coimbatore/aachi-kari-virundhu-2-vadavalli/order,Aachi Kari Virundhu,"2/201A, SV Nagar, Vadavalli, Coimbatore","South Indian, Biryani, Street Foo, Street Food",Vadavalli,'+919345685923
https://www.zomato.com/coimbatore/aagaaram-kavundampalayam/order,Aagaaram,"7, Thiruvalluvar Street, GN Mills, Kavundampalayam, Coimbatore, Kavundampalayam, Coimbatore",Kavundampalayam ,"North Indian, Chettinad, Biryani, Chinese, Sichua, Sichuan",'+914222646565
https://www.zomato.com/coimbatore/aagaaram-cafe-thudiyalur/order,Aagaaram Cafe,"324/1, Urumandampalayam Road, Near Vadamadurai, Thudiyalur, Coimbatore","South Indian, North Indian, Chinese, Fast Food, Biryani, Street Food, Shake, Beverage, Beverages",Thudiyalur,'+916381980019
https://www.zomato.com/coimbatore/aasife-brothers-biryani-center-lakshmi-mills/order,Aasife & Brothers Biryani Center,"308, Avinashi Road, Near Fun Republic Mall, Lakshmi Mills, Coimbatore","Biryani, Chettinad, North Indian, BBQ, Grilled Chicken, Keba, Kebab", Avinashi Road,'+919363633733
https://www.zomato.com/coimbatore/aasife-biriyani-saravanampatty/order,Aasife Biriyani,"207/5, Hari Complex, Sivanandapuram, Sathy Road, Saravanampatty, Coimbatore","Biryani, South Indian, North Indian, Chettinad, Arabian, Chinese, Desserts, Beverage, Beverages",Saravanampatty,'+914224332323
https://www.zomato.com/coimbatore/abitha-biriyani-hotel-ukkadam/order,Abitha Biriyani Hotel,"123, E.K Street, Masjid Road, Ukkadam, Coimbatore","Biryani, South Indian, Chinese, Mughlai, Street Foo, Street Food",Ukkadam,'+914224362033
https://www.zomato.com/coimbatore/abs-absolute-barbecues-lakshmi-mills/order,AB's - Absolute Barbecues,"Door 1095, First Floor, Vignesvar Cresta, Avinashi Road, Lakshmi Mills, Coimbatore","Biryani, BBQ, Kebab, North Indian, Dessert, Desserts",Lakshmi Mills,'+917337383762
