Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Cookie Gifts & Hampers,Premium Truffle Chocolates Gift Box - 25 Pieces,1,0,Perfect for gifting or treating yourself to luxury,508.47
Cookie Gifts & Hampers,Cookieman Happiness Gift Hamper,1,0,"This Hamper Contains : 300g Assorted Cookies With Floral Tin , 8 piece ... read more",846.61
Cookie Gifts & Hampers,Cookieman Gift Hamper With Love,1,0,"This Hamper Contains : 300g Assorted Cookies With Love Tin , 8 piece ... read more",846.61
Cookie Gifts & Hampers,With Love Assorted Cookies - 300g,1,0,A perfect Gift for your loved one. A delicious assortment of our best ... read more,330.51
Cookie Gifts & Hampers,With Love Assorted Cookies - 600g (Save 10% - INR 66),1,0,MRP Of 660 A perfect gift for your loved one. A delicious assortment ... read more,503.38
Cookie Gifts & Hampers,Premium Truffle Chocolates Gift Box - 8 Pieces,1,0,Our classic chocolate treat with an Assortment of Exotic Flavours,203.38
Cookie Gifts & Hampers,Floral Gift Tin Assorted Cookies - 300g,1,0,Assorted Cookie Gift Box comes filled with freshly baked eggless cookies,330.51
Cookie Gifts & Hampers,Golden Cookies Gift Tin - 250g,1,0,250g Assorted Cookies is to ensure premium quality and a delightful taste experience.,296.61
Cookie Gifts & Hampers,Joy Gift Box Assorted Cookies - 500g,1,0,Delicious assorted cookies packed in a gift box perfect for all occasions.,355.93
Cookie Gifts & Hampers,Floral Gift Tin Assorted Cookies - 600g,1,0,Best selling flavours of our original cookies in our signature tin.,559.32
Cookie Gifts & Hampers,Assorted Cookies Gift Tin Canister- 250g,1,0,Best selling flavours of our original cookies in our signature tin.,237.29
Cookie Gifts & Hampers,Premium Truffle Chocolates Gift Box - 12 Pieces,1,0,Premium Chocolates to fill your Love with Sweetness!,313.56
Cookie Gifts & Hampers,Premium Truffle Chocolate Gift Box - 15 Pieces,1,0,Premium Chocolates to fill your Love with Sweetness!,381.36
Cookie Gifts & Hampers,Luxury Handcrafted Chocolate Box,1,0,This Premium Chocolate Box Contains 12 Pieces of Delicious Handcrafted Molded ... read more,381.35
Cookie Gifts & Hampers,Best Wishes Cookies Gift Tin - 300g,1,0,,330.51
Super Saver Deals (Upto 30% Off),Donuts - Buy 4 & Get 2 Free (choose your Flavors!),1,0,MRP 600 Of This Delightful Mouth Watering Combo comes with 6 Assorted ... read more,400.0
