Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Burgers,Korean Fried Chicken Burger,0,0,"Crispy fried chicken dipped in authentic Korean sauce, layered with coleslaw, lettuce, chef ... read more",279.0
Burgers,Fried Chicken Burger,0,0,"Classic crispy fried chicken, lettuce, coleslaw and chipotle dressing served in butter toasted ... read more",229.0
Burgers,Peri Peri Chicken Burger,0,0,"Grilled peri peri chicken steak, layered with grilled onion, tomato, lettuce and dressed ... read more",219.0
Burgers,Nashville Fried Chicken Burger,0,0,"Fried chicken burger, tossed in nashville seasoning, layered with cucumber, chef special sauce, ... read more",263.0
Burgers,Barbecue Chicken Burger,0,0,"Grilled chicken steak, grilled onion, grilled tomato, lettuce and dressed with barbecue sauce.",219.0
Burgers,Dynamite Heat Wave Burger,0,0,"Crunch into our fried chicken burger, smothered in spicy dynamite sauce and gooey ... read more",259.0
Burgers,Szechuan Fiery Chicken Burger,0,0,"Spicy schezwan sauce on a crispy chicken patty, served in a toasted bun ... read more",209.0
Burgers,Paneer Makhani Burger,0,0,"Chef’s special paneer makhni gravy, layered with mozzarella cheese, lettuce, and shredded onion ... read more",206.0
Burgers,Paneer Patty Burger,0,0,"Regular oil fried paneer patty, tomato slice, onion slice, with ketchup and mayo ... read more",180.0
Burgers,Dynamite Veg Burger,0,0,Satisfy your craving with our veggie patty burger topped with dynamite sauce. The ... read more,179.0
Burgers,Veg Patty Burger,0,0,"A regular potato patty, deep fried, layered with lettuce, coleslaw, and chipotle dressing.",149.0
Burgers,Egg Burger,0,0,"Single fried egg, slice of onion, tomato, ketchup and mayo dressing in butter ... read more",120.0
Sandwiches,Paneer Tikka Sandwich,0,0,"Paneer tikka tossed in masala, mayonnaise and other good stuff bursting with desi ... read more",188.0
Sandwiches,Paneer Makhani Sandwich,0,0,Grilled sandwich stuffed with paneer makhani gravy and cheese with veggies.,199.0
Sandwiches,Garden Veg Sandwich,0,0,"Fresh cucumber, tomatoes, coleslaw and sweet corn in a toasted sandwich bread.",169.0
Sandwiches,Triple Decker Sandwich,0,0,"The big man’s tummy filler. Comes in three decks of bread slices, stuffed ... read more",208.0
Sandwiches,Chicken and Cheese Sandwich,0,0,,213.0
Sandwiches,Butter Chicken Sandwich,0,0,"The legendary butter chicken masala loved by all, presented in a sandwich, bursting ... read more",199.0
Sandwiches,Peri Peri Chicken Sandwich,0,0,Portuguese style peri peri chicken with smoked paprika seasoning. Must try if you ... read more,188.0
Sandwiches,Classic Chicken Sandwich,0,0,"Chicken and coleslaw drenched in garlic mayo, with oregano seasoning. Classic continental flavors.",184.0
Pasta,True Value White Sauce Chicken Pasta,0,0,"Penne pasta in regular white sauce, with diced chicken toppings. Perfect student meal ... read more",209.0
Pasta,Rich White Sauce Chicken Pasta,0,0,"Our best seller, authentic Parmesan cheese based creamy white sauce, served with slice ... read more",258.0
Pasta,Red Sauce Chicken Pasta,0,0,"Penne pasta in classic pasta sauce, with diced chicken toppings.",217.0
Pasta,Pink Sauce Chicken Pasta,0,0,Penne pasta blended in creamy Parmesan white sauce and tangy red sauce served ... read more,250.0
Pasta,Red Sauce Pasta,0,0,,169.0
Pasta,Pink Sauce Pasta,0,0,Penne pasta blended in creamy Parmesan white sauce and tangy red sauce served ... read more,206.0
Pasta,Basic White Sauce Pasta,0,0,"Penne pasta in regular white sauce, with sweet corn kernels, shredded cabbage, carrot,  ... read more",182.0
Pasta,Special White Sauce Pasta,0,0,"Authentic Parmesan cheese based creamy white sauce, served with slice of toasted garlic ... read more",239.0
