Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Party Combos,Chettinad Chicken Sandwich With Chicken Popcorn,0,0,Chettinad Chicken Sandwich + Chicken Popcorn,390.0
Party Combos,Fried Chicken Burger With Peri Peri Fries,0,0,Fried Chicken Burger + Peri Peri Fries,355.0
Party Combos,White Sauce Pasta With Classic Fries,0,0,White Sauce Pasta + Classic Fries,360.0
Starters,Jalepeno Nachos,0,0,The Sizzling Taste Of Jalapenos In Crunchy Crispy Nachos Pairs Excellently With Tangy ... read more,180.0
Starters,Cheese Fries,0,0,Crispy Fries Topped With White Cheese Sauce And Topped With Olives.,145.0
Starters,Cheese Garlic Bread,0,0,Fresh Baked Garlic Bread Topped With Cheese And Baked.,145.0
Starters,Chicken Fingers,0,0,"Mildly Seasoned Minced Chicken Strips, Dipped In Batter Emulsion For Coating With Bread ... read more",170.0
Starters,Chicken Popcorn,0,0,"Mildly Seasoned Chicken Cubes, Dipped In Batter Emulsion For Coating With Bread Crumb.",195.0
Starters,Classic Fries,0,0,All Time Classic.,120.0
Starters,American Cheese Corn Ball,0,0,Lightly Flavoured & Spiced Cheese Stuffed Mashed Potatoes With Corn Kernels & Italian ... read more,170.0
Starters,Fish Finger,0,0,Marinated Fish Coated With Bread Crumbs And Fried. Served With Peri Peri Sauce.,170.0
Starters,Garlic Bread,0,0,Fresh Baked Garlic Bread.,120.0
Starters,Jalepeno Cheese Balls,0,0,Lightly Flavoured & Spiced Cheese Stuffed Mashed Potatoes With Jalepeno Dice & Italian ... read more,170.0
Starters,Jalapeno Fries,0,0,Crispy Fries Topped With A Home Made Jalapeno Sauce And Topped With Sliced ... read more,145.0
Starters,Jamaican Chicken,0,0,A Well-Seasoned Grilled Chicken Strips With Jamaican Jerk Marinade That Has The Perfect ... read more,180.0
Starters,Mozzarella Cheese Sticks,0,0,Panko Crumbed Mozzarella Cheese,170.0
Starters,Peri Peri Fries,0,0,Crispy Fries Tossed In Spicy Peri Peri Seasoning And Served With Garlic Aioli.,160.0
Starters,Bbq Chicken Wings,0,0,Wings Sauteed In Smoky Bbq Sauce.,180.0
Starters,Crispy Wings,0,0,Crispy Fried Wings Served With A Peri Peri Mayo On The Side.,180.0
Starters,Honey Chilli Wings,0,0,Chicken Wings Sauteed In Honey And Spicy Sauce,180.0
Bruschetta,Mushroom Bruschetta,0,0,Italian appetizer of garlic bread topped with mushrooms,160.0
Salad,Non-Veg Caesar Salad,0,0,,195.0
Salad,Veg Caesar Salad,0,0,,170.0
Sub,Chicken Submarine,0,0,Grilled Shredded Chicken Mixed With Mayonnaise And Seasonings And Sandwiched Between Loaf.,220.0
Sub,Paneer Submarine,0,0,Grillled Paneer Mixed With Mayonnaise And Seasonings And Sandwiched Between Loaf,180.0
Sub,Scrambled Egg Mint Mayo Sanwich,0,0,Scrambled Egg With Mint Mayo,150.0
Maggie,Classic Maggie,0,0,Nostalgia Overload.,85.0
Maggie,Cream Cheese Maggie,0,0,"Maggi Noodles, Combined With Cheese And Fresh Cream - Rich And Drool Some",90.0
Maggie,Desi Indian Maggie,0,0,"Hearty Maggi Topped With Tomato And Onion, Bhujia, Some Mint Mayo And A ... read more",110.0
Maggie,Lemon Corriander Maggie,0,0,,110.0
Maggie,Peri Peri Maggie,0,0,A Classic Favorite Maggie Prepared With Prepared Seasoning.,110.0
Maggie,Schezwan Maggie,0,0,Maggie Noodles With A Cinese Twist Added Schezwan Sauce And Shredded Chicken.,90.0
Sandwiches And Burgers,Chettinad Chicken Sandwich,0,0,"A Spicy, Flavourful Blend Of Toasted Ground Spices And Tender Chicken Pieces Stuffed ... read more",195.0
Sandwiches And Burgers,Desi Mumbai Sandwich,0,0,Amchi Mumbai Ki Desi Street Style Sandwich With Mint Chutney Tomatoes And Cucumber.,195.0
Sandwiches And Burgers,Garlic Mayo Chicken Sandwich,0,0,Shredded Chicken With Creamy Garlic Mayo Seasoned With Italion Seasonings,220.0
