Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Special Combos,Double Delight Non - Veg,0,0,Chicken Tikka Burger + Tandoori Burger + 2Pc Grillicken Drumstick + Large Chicken ... read more,849.0
Special Combos,Double Delight Veg,0,0,2 Paneer Cheese Burger + Peri Peri French Fries + 2 Mojito + ... read more,649.0
Special Combos,Family Feast Non - Veg,0,0,4 Me Chicken Burger + 4 Pcs Grillicken Hot Wing: + Large Chicken ... read more,1234.0
Special Combos,Family Feast Veg,0,0,2 Paneer Cheese Burst + 2 Mac'N' Cheese Burst + Paneer Fries + ... read more,1059.0
Special Combos,Me - Special Variety Bucket,0,0,2Pc Clasic Drumstick + 2Pc Grillicken Drumstick + 2Pc Fiery Drumstick + 2Pc ... read more,1234.0
Veg Burger,Classic Veg Burger,0,0,Minced Flavoured Vegetable Patty Deep Fried And Dressed With Mayo And Lettuce.,109.0
Veg Burger,Corn N Spinach Burger,0,0,Minced Spinach And Corn With Crunchy Flavoured With Herbs And Spices Breaded In ... read more,129.0
Veg Burger,Kiddy Veg Burger,0,0,Tomato,39.0
Veg Burger,Mac N Cheese Burger,0,0,"Cooked Macaroni Pasta Mixed With Cheddar Cheese, Breaded With Bread Crumbs Deep Fried ... read more",175.0
Veg Burger,Paneer Cheese Burst Burger,0,0,Spread Of Cheese Placed In Between Layer Of Paneer Breaded With Bread Crumbs ... read more,199.0
Veg Burger,Veg Super Twin Burger,0,0,"A Mix Of Paneer Patty, Vegetable Patty Deep Fried, Dressed With Tomato Slice, ... read more",239.0
Non-Veg Burger,Chicken Cheese Burst Burger,0,0,"Greasy Chicken Flavoured, Filled With Cheese, Deep Fried And Dressed With Chipotle Mayo, ... read more",165.0
Non-Veg Burger,Chicken Tikka Burger,0,0,Tandoori Flavoured Chicken Breast Fillet Grilled And Dressed With Tandoori Mayonnaise And Lettuce.,155.0
Non-Veg Burger,Classic Chicken Burger,0,0,Minced Flavoured Chicken Patty Deep Fried And Dressed With Mayo And Lettuce.,139.0
Non-Veg Burger,Db Grilled Chicken Burger,0,0,"2 Pieces Boneless Marinated Chicken Fillet Grilled, Dressed With Cheese , Lettuce ,Tandoori ... read more",255.0
Non-Veg Burger,Gourmet Chicken Burger,0,0,,175.0
Non-Veg Burger,Little Dia Burger,0,0,Breaded Chicken Strips Dreep Fryed And Dressed With Tandoori Mayonnise And Lettuce,89.0
Non-Veg Burger,Me Chicken Burger,0,0,"Boneless Marinated Chicken Thigh Fillet Deep Fried , Dressed With Lettuce And Veg ... read more",179.0
Non-Veg Burger,Super Twin Burger,0,0,"A Mix Of Chicken Fillet, Minced Chicken Patty Deep Fried, Dressed With Tomato ... read more",265.0
Non-Veg Burger,Tandoori Chicken Burger,0,0,"Minced Chicken Seasoned With Tandoori Masala, Breaded With Bread Crumbs And Deep Fried, ... read more",149.0
Non-Veg Burger,Thai Chilli Burger,0,0,,189.0
Non-Veg Burger,Three Burger Combo + 2 Coke (250Ml),0,0,,549.0
Me Deals,Me 1 ( Kiddy Veg Burger + F.Fries + Drink ),0,0,,139.0
