Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Meals,Meals,1,0,"Rice, sambar, rasam, kootu, poriyal, Appalam,buttermilk",205.0
Milkshakes,Afghan Dry Fruits Milkshake,1,0,,230.0
Milkshakes,Apple And Vanilla Milkshake,1,0,,150.0
Milkshakes,Apple Vanilla Milkshake,1,0,,180.0
Milkshakes,Banana Mango Shake,1,0,,190.0
Milkshakes,Bananastrawberry Milkshake,1,0,,190.0
Milkshakes,Blueberry Lassi,1,0,,90.0
Milkshakes,Butterscotch And Pineapple Milkshake,1,0,,140.0
Milkshakes,Chocopeanut Milkshake,1,0,,180.0
Milkshakes,Coffeewalnut Milkshake,1,0,,190.0
Milkshakes,"Fig,dates And Honey Milkshake",1,0,,230.0
Milkshakes,Flavoured Lassi,1,0,,90.0
Milkshakes,Fresh Strawbery Milkshake,1,0,,200.0
Milkshakes,Grapes Milkshakes,1,0,,180.0
Milkshakes,Hazelnut Coffee Milkshake,1,0,,190.0
Milkshakes,Lassi,1,0,,90.0
Milkshakes,Lycheestrawberry Milkshake,1,0,,160.0
Milkshakes,Mango Milkshake,1,0,,180.0
Milkshakes,Nutty Affair Milkshake,1,0,,250.0
Milkshakes,Pista Chio Milkshake,1,0,,150.0
Milkshakes,Vanilla Milkshake,1,0,,180.0
Suma Sema Combos,Combo 1,1,0,Meals + watermelon,285.0
Suma Sema Combos,Combo 2,1,0,Mushroom briyani + watermelon,305.0
Suma Sema Combos,Combo 3,1,0,Thayir Saadam + kallan milagu varuval,329.0
Suma Sema Combos,Combo 5,1,0,Vegetable dum briyani kallan milagu varuval,444.0
Ab Special Signature,5 Suvai Uthappam,1,0,A South Indian dish made with a thick pancake-like batter that includes a ... read more,182.0
Ab Special Signature,Ab/Spl/Masala Roast,1,0,A South Indian dish made with roasted dosa filled with a special masala.,195.0
Ab Special Signature,Chinna Vengaya Uthappam,1,0,A South Indian dish made with roasted dosa filled with small onions and ... read more,160.0
Ab Special Signature,White Butter Corander Podi Roast,1,0,A South Indian dish made with roasted dosa filled with a spicy coriander ... read more,194.0
Dosa Varieties,Cheese Chilli Coriander Dosa,1,0,"Chilli Cheese Dosa is a vegetarian Indian Chinese snack typically eaten for breakfast, mid-morning, lunch, ... read more",185.0
Dosa Varieties,Panner Bhuriji Dosa,1,0,Paneer Bhurji is a popular North Indian dish made with Indian cottage cheese aka ... read more,185.0
Dosa Varieties,Schezwan Roast,1,0,This is a chinese style roast with Chinese schezwan sauce. I,190.0
Dosa Varieties,Tandoor Baby Aloo Roast,1,0,Aloo Masala also known as Potato Masala is a simple and delicious South ... read more,185.0
