Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Exclusive Combos,Chapati (2 Pcs) + Chicken Gravy,0,0,Tender chicken cooked in a spicy onion gravy and served with 2 pieces ... read more,189.0
Exclusive Combos,Chappati (2 Pcs) & Veg Gravy,0,0,Two pieces of whole wheat based unleavened flatbread served with spicy and savoury ... read more,179.0
Exclusive Combos,Chicken 65 Biryani & Boneless Kozhi Sukka,0,0,"Fried chicken bits coated in spiced yoghurt based sauce, cooked with Seeraga samba ... read more",319.0
Exclusive Combos,Chicken Empty Biryani & Boneless Chicken 65,0,0,Delicious combo of spicy and fragrant chicken biryani and fiery chicken 65.,299.0
Exclusive Combos,Chicken Empty Biryani & Quarter Chicken Tandoori,0,0,Spicy Seraga Samba rice cooked with marinated and well cooked chicken. Served with ... read more,309.0
Exclusive Combos,Chicken Fried Rice & Boneless Chicken 65,0,0,Chinese style stir fry of chicken and rice paired with spicy and saucy ... read more,299.0
Exclusive Combos,Chicken Noodles & Boneless Chicken 65,0,0,Delicious combo of noodles cooked with chicken pieces and boneless chicken pieces tossed ... read more,299.0
Exclusive Combos,Chicken Noodles & Boneless Chilli Chicken,0,0,Our Mushroom Biryani is made with seeraga samba rice and a delicious one ... read more,299.0
Exclusive Combos,Chicken Noodles & Boneless Dragon Chicken,0,0,Delicious combo of noodles cooked with chicken pieces and boneless chicken pieces tossed ... read more,299.0
Exclusive Combos,Chinna Vengayam Rice + Choice Of Starter,0,0,"Ponni Rice Tossed with Small onions, Red Chilly & a Pinch of Pepper. ... read more",269.0
Exclusive Combos,Curd Rice + Chicken Dynamite,0,0,Our Rich Creamy Curd Rice And Spicy Chicken Dynmaite Are Match Made In ... read more,309.0
Exclusive Combos,Curd Rice + Kozhi Chukka,0,0,"Smooth and creamy mix of rice, yoghurt and spices served with marinated chicken ... read more",319.0
Exclusive Combos,Curd Rice + Nei Podi Kozhi,0,0,Our Rich Creamy Curd Rice With Nei Podi Kozhi Make A Great Meal.,319.0
Exclusive Combos,Curd Rice + Pacha Milagai Kozhi Peratal,0,0,"Thick and creamy curd rice sauteed along with spicy, fried green chillies.",299.0
Exclusive Combos,Egg Schezwan Fried Rice & Boneless Kozhi Muttai Varuval,0,0,Rice stir fried with eggs and a hot and spicy sauce served with ... read more,299.0
