Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Veg Clear Soup,1,0,,120.0
Soups,Hot and Sour Veg Soup,1,0,,130.0
Soups,Tomato Soup,1,0,,130.0
Soups,Sweet Corn Veg Soup,1,0,,140.0
Soups,Chicken Clear Soup,1,0,This healthy and delicious instant chicken and corn chowder is such a filling ... read more,130.0
Soups,Hot & Sour Chicken Soup,1,0,,140.0
Soups,Sweet Corn Chicken Soup,1,0,,150.0
Soups,Mutton Clear Soup,1,0,,180.0
Starters,Chilli Gobi,1,0,,170.0
Starters,Gobi Manchurian Dry,1,0,,180.0
Starters,Chilli Mushroom,1,0,,200.0
Starters,Mushroom Manchurian Dry,1,0,,200.0
Starters,Chilli Paneer,1,0,,250.0
Starters,Paneer Manchurian,1,0,,260.0
Starters,Baby Corn Chilli,1,0,,210.0
Starters,Veg Ball Manchurian Dry,1,0,,270.0
Starters,Boiled Egg [2 Eggs],1,0,,40.0
Starters,Omelette,1,0,,60.0
Starters,Egg Bhurji,1,0,,130.0
Starters,Chilly Chicken,1,0,,300.0
Starters,Chicken 65,1,0,Succulent chicken chunks dipped in a seasoned batter and fried to golden perfection.,310.0
Starters,Chicken Lollipop [4 Pieces],1,0,,310.0
Starters,Chilli Chicken Chinese,1,0,,350.0
Starters,Chicken Pallipalayam,1,0,"A spicy, flavourful blend of toasted ground spices and grated coconut in a ... read more",360.0
Starters,Pepper Chicken Dry,1,0,A mouthwatering dish prepared with chicken fried to golden brown and stir fried ... read more,350.0
Starters,Chicken Manchurian Dry,1,0,,350.0
Starters,Chicken 777,1,0,,350.0
Starters,Chicken Monica,1,0,,350.0
Starters,Kerala Chicken Dry,1,0,,370.0
Starters,Garlic Chicken Dry,1,0,,350.0
Starters,Dragon Chicken,1,0,[Chef's Special],450.0
Starters,Green Chilli Chicken,1,0,,450.0
Starters,Crispy Chicken,1,0,[Chef's Special],450.0
Starters,Mutton Chukka,1,0,,400.0
Starters,Mutton Pepper Fry,1,0,,409.0
Starters,Mutton Kola Balls [6 Pieces],1,0,,500.0
Starters,Fish Finger,1,0,,370.0
Starters,Chilli Fish,1,0,,370.0
Starters,Boneless Fish Pepper Fry,1,0,,400.0
Starters,Pomplet Fish Fry,1,0,,420.0
Starters,Fish Fry [1 Piece],1,0,,330.0
Starters,Prawns Chilli,1,0,,400.0
Starters,Prawn Fry,1,0,,390.0
Starters,Prawns Pepper Fry,1,0,,400.0
Starters,Prawn Manchurian Dry,1,0,,400.0
Starters,Crispy Fish,1,0,,450.0
Starters,Fish Pollichathu,1,0,,670.0
Starters,Crispy Pepper Fish,1,0,,490.0
Starters,Crispy Prawns,1,0,,450.0
Biryani,Chettinadu Chicken Biryani,1,0,Richly flavored aromatic rice layered with marinated chicken pieces in a delicate blend ... read more,190.0
Biryani,Chettinadu Mutton Biryani,1,0,Slow-cooked aromatic rice layered with marinated mutton pieces in a delicate blend of ... read more,260.0
