Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
"Meals,",Veg Parcel Meals,1,0,"Complete vegetarian meals packed in parcels, convenient for takeaway or on-the-go dining.",125.0
"Meals,",Non-veg Parcel Meals,1,0,"Wholesome non-vegetarian meals packed in parcels, offering a variety of meat and accompaniments.",125.0
"Meals,",Carrot Sadham,1,0,"Rice dish cooked with grated carrots and spices, offering a colorful and nutritious ... read more",65.0
"Meals,",Egg Sadham,1,0,"Rice dish cooked with scrambled eggs and spices, creating a flavorful and protein-rich ... read more",65.0
"Meals,",Curd Rice..,1,0,"A comforting South Indian dish made with rice and yogurt, tempered with mustard ... read more",65.0
Biryani,Hydrabad Kuska,1,0,"Fragrant rice dish cooked with spices, without any meat, popular in the Hyderabad ... read more",111.0
Biryani,Kuska,1,0,"Flavorful rice dish cooked with spices, often served as an accompaniment to meat ... read more",111.0
Biryani,Egg Kuska,1,0,"Kuska rice dish cooked with scrambled eggs, offering a hearty and satisfying meal ... read more",137.0
Biryani,Chicken Biryani,1,0,"Fragrant and flavorful rice dish cooked with marinated chicken and aromatic spices, a ... read more",156.0
Biryani,Gilma Biryani,1,0,"Biryani rice dish with a spicy and tangy flavor, a specialty from the ... read more",182.0
Biryani,Hyderapad Biryani,1,0,"Biryani rice dish prepared with the traditional Hyderabadi style, known for its rich ... read more",156.0
Egg Special,Boiled Egg-2 Egg,1,0,Two boiled eggs served as a standalone dish.,39.0
Egg Special,Egg Masala -2 Egg,1,0,Boiled eggs cooked in a flavorful masala gravy.,72.0
Egg Special,Egg Porial-2 Egg,1,0,South Indian style scrambled eggs seasoned with spices and saut?ed with onions and ... read more,52.0
Egg Special,Full Boil-2 Egg,1,0,"Two eggs boiled to perfection, usually served as part of a breakfast or ... read more",52.0
Egg Special,Kalakki-2Egg,1,0,"A dish made by scrambling eggs with onions, tomatoes, and spices.",52.0
Egg Special,Kulambu Kalakki-2 Egg,1,0,Scrambled eggs cooked in a tangy and spicy South Indian curry.,52.0
Egg Special,Kulumbu Omblet - 2egg,1,0,Omelet cooked in a flavorful curry gravy.,52.0
Egg Special,Omlet - 2 Egg,1,0,"Classic omelet made with eggs, typically seasoned with salt and pepper and sometimes ... read more",52.0
Egg Special,Onion Kalakki-2 Egg,1,0,Scrambled eggs cooked with onions and spices.,52.0
Egg Special,Plain Omblete - 2 Egg,1,0,"Basic omelet made with eggs, without any additional fillings.",52.0
Egg Special,White Omulet-2Egg,1,0,"A variation of omelet made with only egg whites, typically seasoned with salt ... read more",52.0
Rice & Noodles,Mushroom Biryani,1,0,"Fragrant rice dish cooked with mushrooms and aromatic spices, offering a vegetarian twist ... read more",111.0
Rice & Noodles,Veg Rice,1,0,"Flavorful rice dish cooked with mixed vegetables and spices, offering a wholesome and ... read more",124.0
Rice & Noodles,Schezwan -Veg Rice,1,0,Spicy Indo-Chinese rice dish made with vegetables and flavored with Schezwan sauce.,137.0
Rice & Noodles,Egg Rice,1,0,"Simple and delicious rice dish cooked with scrambled eggs, offering a quick and ... read more",137.0
Rice & Noodles,Schezwan - Egg Rice,1,0,Schezwan rice dish with added scrambled eggs for protein.,150.0
Rice & Noodles,Chicken Rice,1,0,"Flavorful rice dish cooked with tender pieces of chicken and aromatic spices, a ... read more",163.0
Rice & Noodles,Paneer Rice,1,0,"Fragrant rice dish cooked with paneer (Indian cottage cheese) and aromatic spices, offering ... read more",137.0
Rice & Noodles,Schezwan-Paneer Rice,1,0,Schezwan rice dish with paneer (Indian cottage cheese) cubes added for a vegetarian ... read more,150.0
