Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Gift Hampers [Assorted Sweets],Milk Assorted [250 grams],1,0,"A collection of milk-based sweets offering a variety of flavors and textures, perfect ... read more",182.0
Gift Hampers [Assorted Sweets],Ghee Assorted [250 grams],1,0,"A selection of ghee-infused sweets that melt in your mouth, embodying the rich ... read more",182.0
Gift Hampers [Assorted Sweets],Bengali Assorted [250 grams],1,0,"A medley of Bengali sweets with intricate flavors, textures, and shapes, reflecting the ... read more",182.0
Gift Hampers [Assorted Sweets],Halwa Assorted [250 grams],1,0,"A delightful assortment of halwa, a dense and sweet dessert made from various ... read more",182.0
Gift Hampers [Assorted Sweets],Kaju Assorted [250 grams],1,0,"A blend of cashew-based sweets, offering a nutty and luxurious experience for those ... read more",264.0
Pure Ghee Sweets,Boondi Laddu [250 grams],1,0,"Small, round boondi [gram flour pearls] bound together with syrup to form a ... read more",182.0
Pure Ghee Sweets,Milk Halwa [250 grams],1,0,"A luscious and creamy dessert made from milk and sugar, known for its ... read more",182.0
Pure Ghee Sweets,Badusha [250 grams],1,0,"A deep-fried sweet made from flour and ghee, soaked in sugar syrup, providing ... read more",182.0
Pure Ghee Sweets,Bombay Halwa,1,0,"A sweet delicacy made from semolina, ghee, and sugar, boasting a unique chewy ... read more",182.0
Pure Ghee Sweets,Dates Halwa [250 grams],1,0,"A rich and nutritious dessert prepared with dates, offering a natural sweetness and ... read more",182.0
Pure Ghee Sweets,Soan Papdi [250 grams],1,0,"A flaky, melt-in-the-mouth dessert made from gram flour and sugar, often enjoyed during ... read more",182.0
Milk Sweets,Kalakand,1,0,"A traditional Indian sweet made from condensed milk and cottage cheese, known for ... read more",182.0
Milk Sweets,Achu Peda [250 grams],1,0,"A unique peda with a distinctive shape, offering a delightful blend of flavors ... read more",182.0
Milk Sweets,Milk Kathli [250 grams],1,0,"A variation of kathli made with milk, offering a creamy and luxurious texture.",182.0
Milk Sweets,Thirattipal Bowl [250 grams],1,0,"A bowl of Thirattipal, providing a rich and satisfying dessert experience.",182.0
Milk Sweets,Malai Burfi [250 grams],1,0,"A delectable sweet made from malai [milk cream], offering a luxurious and creamy ... read more",182.0
Milk Sweets,Special Peda [250 grams],1,0,A specially crafted peda with intricate flavors and a touch of indulgence.,182.0
SKS Special Sweets,Badam Halwa [250 grams],1,0,"A rich and luxurious dessert made from almonds, ghee, and sugar, celebrated for ... read more",277.0
SKS Special Sweets,Motichur Laddu [250 grams],1,0,"Tiny boondi pearls bound together with syrup to create a traditional laddu, known ... read more",182.0
