Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Veg Mushroom Soup,1,0,,110.0
Soups,Veg Wonton Soup,1,0,,120.0
Soups,Veg Noodle Soup,1,0,,120.0
Soups,Veg Wonton Noodle Soup,1,0,,120.0
Soups,Veg Glass Noodle Soup,1,0,,120.0
Soups,Tomato Soup,1,0,,110.0
Soups,Veg Sweet Corn Soup,1,0,,110.0
Soups,Veg Lung Fung Soup,1,0,,110.0
Soups,Veg Hot and Sour Soup,1,0,,110.0
Soups,Veg Manchow Soup,1,0,,120.0
Soups,Egg Drop Soup,1,0,,110.0
Soups,Tomato Egg Drop Soup,1,0,,110.0
Soups,Chicken Clear Soup,1,0,,110.0
Soups,Crab Clear Soup,1,0,,120.0
Soups,Chicken Vegetable Soup,1,0,,120.0
Soups,Chicken Mushroom Soup,1,0,,120.0
Soups,Chicken Meat Ball Soup,1,0,,130.0
Soups,Chicken Wonton Soup,1,0,,130.0
Soups,Chicken Noodle Soup,1,0,,130.0
Soups,Chicken Wonton Noodle Soup,1,0,,130.0
Soups,Chicken Glass Noodle Soup,1,0,,130.0
Soups,Chicken Sweet Corn Soup,1,0,,120.0
Soups,Crab Sweet Corn Soup,1,0,,130.0
Soups,Crab Mushroom Soup,1,0,,130.0
Soups,Crab Egg Soup,1,0,,130.0
Soups,Chicken Lung Fung Soup,1,0,,120.0
Soups,Chicken Hot and Sour Soup,1,0,,120.0
Soups,Crab Hot and Sour Soup,1,0,,130.0
Soups,Chicken Manchow Soup,1,0,,130.0
Soups,Chinese Mixed Soup,1,0,"Chicken, Pork, and Prawn",130.0
Starters,Fried Eggs,1,0,,70.0
Starters,Finger Chips,1,0,,110.0
Starters,Egg Fu Yong,1,0,,120.0
Starters,Chicken Egg Fu Yong,1,0,,130.0
Starters,Pork Egg Fu Yong,1,0,,140.0
Starters,Prawn Egg Fu Yong,1,0,,150.0
Starters,Mixed Egg Fu Yong,1,0,"Chicken, Pork, and Prawn",160.0
Starters,Veg Spring Roll,1,0,,150.0
Starters,Egg Spring Roll,1,0,,160.0
Starters,Chicken Spring Roll,1,0,,170.0
Starters,Pork Spring Roll,1,0,,180.0
Starters,Prawn Spring Roll,1,0,,190.0
Starters,Mixed Spring Roll,1,0,"Chicken, Pork, and Prawn",200.0
Starters,Veg Fried Wonton,1,0,,150.0
Starters,Chicken Fried Wonton,1,0,,170.0
Starters,Crab Lollipop,1,0,,230.0
Chinese Dishes,Mixed Vegetables,1,0,Saucy,155.0
Chinese Dishes,Sweet and Sour Vegetable,1,0,Saucy,155.0
Chinese Dishes,Vegetable with Cashew Nuts,1,0,Saucy,165.0
Chinese Dishes,Vegetable Manchurian,1,0,Semi Dry,195.0
Chinese Dishes,Veg Ball Manchurian,1,0,Semi Dry,195.0
Chinese Dishes,Schezwan Veg Ball,1,0,Semi Dry,195.0
Chinese Dishes,Veg Ball with Garlic Sauce,1,0,Saucy,195.0
Chinese Dishes,Veg Ball with Hot Garlic Sauce,1,0,Sweet and Spicy - Saucy,195.0
Chinese Dishes,Vegetable Mushroom,1,0,Saucy,165.0
Chinese Dishes,Deep Fried Mushroom,1,0,,175.0
Chinese Dishes,Chilli Mushroom,1,0,Semi Dry,175.0
Chinese Dishes,Manchurian Mushroom,1,0,Semi Dry,175.0
Chinese Dishes,Hot Pepper Mushroom,1,0,Semi Dry,175.0
Chinese Dishes,Schezwan Mushroom,1,0,Semi Dry,175.0
Chinese Dishes,Deep Fried Gobi,1,0,,175.0
Chinese Dishes,Chilli Gobi,1,0,Semi Dry,175.0
Chinese Dishes,Manchurian Gobi,1,0,Semi Dry,175.0
Chinese Dishes,Hot Pepper Gobi,1,0,Semi Dry,175.0
Chinese Dishes,Schezwan Gobi,1,0,Semi Dry,175.0
Chinese Dishes,Chilli Paneer,1,0,Semi Dry,215.0
Chinese Dishes,Manchurian Paneer,1,0,Semi Dry,215.0
Chinese Dishes,Hot Pepper Paneer,1,0,Semi Dry,215.0
Chinese Dishes,Schezwan Paneer,1,0,Semi Dry,215.0
Chinese Dishes,Chilli Tofu,1,0,Semi Dry,215.0
Chinese Dishes,Manchurian Tofu,1,0,Semi Dry,215.0
Chinese Dishes,Hot Pepper Tofu,1,0,Semi Dry,215.0
Chinese Dishes,Szechuan Tofu,1,0,Semi Dry,215.0
Chinese Dishes,Fried Chicken,1,0,Deep Fried,240.0
Chinese Dishes,Chilli Chicken,1,0,Semi Dry,240.0
Chinese Dishes,Manchurian Chicken,1,0,Semi Dry,240.0
Chinese Dishes,Manchurian Chicken Balls,1,0,Semi Dry,260.0
Chinese Dishes,Hot Pepper Chicken,1,0,Semi Dry,240.0
Chinese Dishes,Garlic Chicken,1,0,Saucy,240.0
Chinese Dishes,Chicken with Hot Garlic Sauce,1,0,Sweet and Spicy - Saucy,240.0
Chinese Dishes,Schezwan Chicken,1,0,Semi Dry,250.0
Chinese Dishes,Schezwan Chicken Balls,1,0,Semi Dry,270.0
Chinese Dishes,Hong Kong Chicken,1,0,Saucy,250.0
Chinese Dishes,Chicken with Black Bean Sauce,1,0,Saucy,250.0
Chinese Dishes,Chicken with Oyster Sauce,1,0,Semi Dry,250.0
Chinese Dishes,Chicken with Shitake Mushroom Sauce,1,0,Semi Dry,250.0
Chinese Dishes,Sweet and Sour Chicken,1,0,Saucy,240.0
Chinese Dishes,Chicken with Vegetables,1,0,Saucy,240.0
Chinese Dishes,Chicken with Mushroom and Vegetables,1,0,Saucy,240.0
